9	tt10354100:-	tt9778662:-	tt9778678:-	tt9778686:-	tt9778692:-	tt9778700:-	tt9778704:-	tt9778706:-	tt9778708:-	tt9778710:-	tt9778716:-	
10	tt10766392:-	tt10938868:-	tt10939094:-	tt10939096:-	tt10939098:-	tt10939100:-	tt10939102:-	tt10939106:-	tt10939108:-	tt10939112:-	tt11192632:-	tt11223524:-	
11	tt11272556:-	tt11963244:-	tt11963246:-	tt11963248:-	tt11963250:-	tt11981536:-	tt11981542:-	tt11981544:-	
12	tt11981550:-	tt11981552:-	tt11981556:-	tt13299328:-	tt13347432:-	tt13387282:-	tt13429612:-	tt13476104:-	tt13517102:-	tt13557840:-	tt13612512:-	
13	tt14196408:-	tt14591134:-	tt14642618:-	tt14695580:-	tt14728584:-	tt14785426:-	tt14821370:-	
1	tt5763500:5.8	tt5763506:5.8	tt5763510:6.0	tt5763512:6.0	tt5763514:5.0	tt5763516:5.0	tt5763518:5.0	tt5763520:5.0	tt5763522:5.0	tt5763524:5.0	
2	tt5763526:4.8	tt5763530:5.0	tt5763532:4.8	tt5763534:4.8	tt5763536:4.8	tt5763542:4.8	tt5763548:4.8	tt5763552:4.8	tt5763554:5.4	tt5763558:5.2	
3	tt5763560:5.3	tt5763566:5.2	tt5763572:4.8	tt5763574:4.8	tt5763576:-	tt5763578:-	tt5763580:-	tt5763582:-	tt5763584:-	tt8387054:-	tt8387056:-	
4	tt7542514:-	tt7542522:-	tt7542524:-	tt7542528:-	tt7542530:-	tt8387068:-	tt8387070:-	tt8387072:-	tt8387074:-	tt8387076:-	tt8387080:-	
6	tt7542548:-	tt7542550:-	tt7542552:-	tt7542554:-	tt7542556:-	tt7542560:-	tt7542562:-	tt8387136:-	tt8387138:-	tt8387142:-	tt8387148:-	
5	tt8387090:-	tt8387100:-	tt8387104:-	tt8387106:-	tt8387108:-	tt8387112:-	tt8387114:-	tt8387116:-	tt8387120:-	tt8387122:-	tt8387128:3.8	
7	tt8387162:-	tt8387174:-	tt8387180:-	tt8387186:-	tt8387188:-	tt8387192:-	tt8387196:-	tt8387198:-	tt8387202:-	tt8387206:-	tt8412860:-	
8	tt8799538:-	tt8936872:-	tt8936874:-	tt8936876:-	tt8936878:-	tt8936880:-	tt8936882:-	tt8936884:-	tt9043330:-	tt9043344:-	tt9043354:-	
