2	tt0575774:5.6	tt0575777:4.3	tt0575778:5.6	tt0575780:5.1	tt0575784:4.8	tt0575793:5.1	tt0575794:4.7	tt0575795:5.0	
1	tt0575775:-	tt0575779:-	tt0575781:-	tt0575785:-	tt0575786:-	tt0575787:-	tt0575790:-	
3	tt0575776:4.5	tt0575782:4.7	tt0575783:4.8	tt0575788:4.8	tt0575789:3.8	tt0575791:4.3	tt0575792:4.7	
