1	tt2411756:6.7	tt2414112:6.6	
2	tt3560620:7.4	tt3560622:6.9	tt3565706:6.9	
3	tt3560624:6.6	tt4837244:7.1	tt4837246:7.0	
4	tt4361390:6.0	tt4782366:7.3	tt4782372:6.7	
5	tt6099748:-	tt6099770:-	tt6099792:-	tt6099798:-	tt6099802:-	tt6099810:-	tt6099814:-	tt6099816:-	
