\N	tt10027332:-	tt10101540:-	tt10172476:-	tt10245460:-	tt10314238:-	tt10384654:-	tt10456934:-	tt10525118:-	tt10597266:-	tt10667440:-	tt10741714:-	tt10815740:-	tt10956514:-	tt11106822:-	tt11177726:-	tt11261256:-	tt11329688:-	tt11402478:-	tt11717644:-	tt11748222:-	tt11772312:-	tt11772370:-	tt11833584:-	tt11879542:-	tt11926204:-	tt12052840:-	tt12082888:-	tt12169872:-	tt12226580:-	tt12245814:-	tt12338212:-	tt12422208:-	tt12511372:-	tt12605212:-	tt12699948:-	tt12780314:-	tt12850294:-	tt12948996:-	tt13033722:-	tt13129436:-	tt13210462:-	tt13298648:-	tt13386208:-	tt13458516:-	tt13553178:-	tt13643032:-	tt13759144:-	tt13997844:-	tt14096836:-	tt14187914:-	tt14280076:-	tt14377102:-	tt4466204:-	tt4488732:-	tt4488774:9.2	tt4488874:-	tt4493088:-	tt4493414:-	tt4681992:-	tt4762690:-	tt4762762:-	tt4763116:-	tt4841874:-	tt4841894:-	tt4843876:7.0	tt4843980:-	tt4844044:-	tt4844084:-	tt4844378:-	tt4845498:-	tt4913906:-	tt4914014:-	tt5142822:-	tt5231168:-	tt5231228:-	tt5260870:7.0	tt5651282:-	tt5651422:-	tt5651544:-	tt5651870:-	tt5651898:-	tt5657410:-	tt5657548:-	tt5686440:-	tt5688816:-	tt5736454:-	tt5837390:-	tt5997522:-	tt6021416:-	tt6382858:-	tt6499176:-	tt6602728:-	tt6661730:-	tt6723562:-	tt6816488:-	tt6881392:-	tt6936982:-	tt6997228:-	tt7055984:-	tt7075286:-	tt7090540:-	tt7111518:-	tt7111638:-	tt7115936:-	tt7121816:-	tt7165660:-	tt7221762:-	tt7242604:-	tt7285656:-	tt7285784:-	tt7541166:-	tt7568898:-	tt7676660:-	tt7678364:-	tt7781006:6.7	tt7806014:-	tt7898378:-	tt7964514:-	tt8084124:-	tt8115552:-	tt8151286:-	tt8187612:-	tt8215878:-	tt8277418:-	tt8345088:-	tt8400078:-	tt8466654:-	tt8530980:-	tt8544512:-	tt8599994:-	tt8669576:-	tt8729238:-	tt8792410:-	tt8864944:-	tt8895692:-	tt8930266:-	tt9004768:-	tt9060960:-	tt9064332:-	tt9064352:-	tt9064368:-	tt9064378:-	tt9064384:-	tt9064396:-	tt9064404:-	tt9118790:-	tt9187620:-	tt9256960:-	tt9327286:-	tt9401004:-	tt9514916:-	tt9700360:-	tt9788240:-	tt9866358:-	
1	tt12355746:-	tt12361824:-	tt12361826:-	tt12361828:-	tt12361830:-	tt12361832:-	tt12361834:-	tt12361838:-	tt12361840:-	tt12361842:-	tt12361846:-	tt12361848:-	tt12361850:-	tt4514044:-	tt4514046:-	tt4514048:-	tt6892114:-	
2	tt12361854:-	tt12364912:-	tt12364914:-	tt12364918:-	tt12364942:-	tt12364944:-	tt12364946:-	tt12364948:-	tt12364952:-	tt12364954:-	tt12364956:-	tt12364958:-	tt12364960:-	tt12364964:-	tt12364966:-	tt12364968:-	tt12364970:-	tt12364972:-	tt12364976:-	tt12364978:-	tt12364982:-	tt12364984:-	tt12364986:-	tt12364988:-	tt12364992:-	
3	tt12361858:-	tt12372698:-	tt12372712:-	tt12372714:-	tt12372716:-	tt12372720:-	tt12372722:-	tt12372724:-	tt12372726:-	tt12372728:-	tt12372730:-	tt12372732:-	tt12372734:-	tt12372736:-	tt12372738:-	tt12372740:-	tt12372742:-	tt12372744:-	tt12372746:-	tt12372748:-	tt12372750:-	tt12372752:-	
4	tt12361860:-	tt12376500:-	tt12376502:-	tt12376524:-	tt12376526:-	tt12376534:-	tt12376536:-	tt12376538:-	tt12376540:-	tt12376542:-	tt12376546:-	tt12376550:-	tt12376556:-	tt12376558:-	tt12376562:-	tt12376566:-	tt12376570:-	tt12376574:-	tt12376576:-	tt12376578:-	tt12376580:-	tt12376582:-	tt12376584:-	tt12376590:-	tt12376592:-	tt12376596:-	tt12376598:-	tt5315534:-	
5	tt12361862:-	tt12383190:-	tt12383194:-	tt12383196:-	tt12383198:-	tt12383200:-	tt12383202:-	tt12383206:-	tt12383208:-	tt12383210:-	tt12383212:-	tt12383214:-	tt12383216:-	tt12383218:-	tt12383220:-	tt12383222:-	tt12383224:-	tt12383226:-	tt12383230:-	tt12383232:-	tt12383234:-	tt12383236:-	tt12383240:-	tt12383242:-	
6	tt12361864:-	tt12387378:-	tt12387380:-	tt12387382:-	tt12387384:-	tt12387386:-	tt12387388:-	tt12387390:-	tt12387392:-	tt12387394:-	tt12387396:-	tt12387398:-	tt12387400:-	tt12387402:-	tt12387404:-	tt12387406:-	tt12387408:-	tt12387410:-	tt12387414:-	tt12387416:-	tt12387418:-	tt12387422:-	tt12387424:-	tt12387426:-	
7	tt12361866:-	tt12394520:-	tt12394524:-	tt12394526:-	tt12394528:-	tt12394530:-	tt12394532:-	tt12394534:-	tt12394538:-	tt12394542:-	tt12394544:-	tt12394548:-	tt12394550:-	tt12394552:-	tt12394554:-	tt12394556:-	tt12394558:-	tt12394560:-	tt12394562:-	tt12394564:-	tt12394566:-	tt12394570:-	tt12394572:-	tt12394574:-	
