4	tt0523778:-	tt1475617:-	tt1714236:-	tt1714237:-	tt1714238:-	tt1714239:-	tt1714240:-	tt1714241:-	tt1714242:-	tt1714243:-	tt1714244:-	tt1714245:-	tt1714246:-	tt1714247:-	tt1714248:-	tt1829860:-	tt1830964:-	tt1830965:-	tt1830966:-	tt1830967:-	tt1830968:-	tt1830969:-	tt1830970:-	
2	tt1657985:-	tt1696587:-	tt1696588:-	tt1696589:-	tt1696593:-	tt1696594:-	tt1696596:-	tt1696599:-	tt1696606:-	tt1696609:-	tt1702051:-	tt1702052:-	tt1702053:-	tt1702054:-	tt1702055:-	tt1702056:-	tt1702057:-	tt1702058:-	tt1702059:-	tt1702060:-	tt1702061:-	tt1713097:-	
1	tt1657986:-	tt1696583:-	tt1696584:-	tt1696585:-	tt1696586:-	tt1696590:-	tt1696591:-	tt1696592:-	tt1696595:-	tt1696597:-	tt1696598:-	tt1696600:-	tt1696601:-	tt1696602:-	tt1696603:-	tt1696604:-	tt1696605:-	tt1696607:-	tt1696608:-	tt1696610:-	tt1696611:-	tt1696612:-	
3	tt1713089:-	tt1713090:-	tt1713091:-	tt1713092:-	tt1713093:-	tt1713094:-	tt1713095:-	tt1713096:-	tt1713098:-	tt1713099:-	tt1713100:-	tt1713101:-	tt1713102:-	tt1713103:-	tt1713104:-	tt1713105:-	tt1713106:-	tt1713107:-	tt1713108:-	tt1713109:-	tt1713110:-	tt1713111:-	
