1	tt2773854:-	tt2773856:-	tt2773860:-	tt2773864:-	tt2773866:-	tt2773868:-	tt2773874:-	tt2773876:-	tt2773878:-	tt2773880:-	
2	tt2912156:-	tt2912182:-	tt3182238:-	tt3182252:-	tt3184190:-	tt3184236:-	tt3184266:-	tt3184286:-	tt3186648:-	tt3186690:-	
3	tt3514006:-	tt3514020:-	tt3514078:-	tt3514112:-	tt3514162:-	tt3514188:-	tt3514244:-	tt3514266:-	tt3516760:-	tt3516782:-	tt3516788:-	
4	tt3892474:-	tt3892482:-	tt3892492:-	tt3892500:-	tt3892512:-	tt3892530:-	tt3892578:-	tt3892594:-	tt3892608:-	tt3892610:-	tt3892612:-	
5	tt3899704:-	tt3899710:-	tt3899720:-	tt3899730:-	tt3899734:-	tt3899738:-	tt3899744:-	tt3899748:-	tt3899754:-	tt3899768:-	tt3899782:-	
