1	tt0602290:6.5	tt0602291:7.3	tt0773885:4.8	tt0773886:5.5	tt0773887:6.1	tt0773888:5.3	tt0773889:6.0	
2	tt0781141:5.4	tt0781142:5.2	tt0781289:5.0	tt0792562:6.3	tt0792563:6.1	tt0793914:7.0	tt0803364:6.2	tt0817372:6.1	tt0821271:5.4	tt0821272:6.3	tt0821273:5.3	tt0821274:5.8	tt0825883:5.4	
3	tt0945111:6.9	tt0945112:5.5	tt0945113:6.3	tt0956061:5.0	tt0962943:6.0	tt0974124:5.8	tt0974125:6.2	tt0974126:-	tt0974127:7.6	tt0974128:5.7	tt0974129:5.0	tt0974130:6.8	
4	tt1076414:6.4	tt1093990:6.8	tt1168389:5.0	tt1197573:8.4	tt1238188:6.0	tt1238189:7.7	tt1238190:5.8	tt1238412:5.3	tt1238413:6.8	tt1683147:6.8	tt1683148:8.2	tt3078538:-	
