1	tt0069323:7.2	tt0711494:7.5	tt0711495:7.3	tt0711498:7.0	tt0711499:7.5	tt0711503:7.8	tt0711505:7.5	tt0711518:7.4	tt0711521:7.4	tt0711528:6.8	tt0711541:7.7	tt0711564:7.6	tt0711567:7.0	tt0711574:7.5	tt0711582:7.8	tt0711586:7.6	tt0711588:7.3	tt0711589:7.0	tt0711593:7.2	tt0711594:6.9	tt0711597:7.0	tt0711598:6.9	tt0711600:7.7	tt0792759:7.5	tt0793263:7.1	tt0793265:7.4	tt0793267:6.9	
5	tt0711496:7.3	tt0711507:8.0	tt0711508:6.0	tt0711510:6.8	tt0711516:7.2	tt0711517:7.3	tt0711529:8.0	tt0711532:7.8	tt0711534:7.1	tt0711536:7.7	tt0711537:7.7	tt0711542:7.3	tt0711549:7.0	tt0711554:7.5	tt0711556:7.5	tt0711559:7.5	tt0711575:7.2	tt0711576:7.1	tt0711578:7.5	tt0711590:8.1	tt0711591:7.5	tt0711595:7.6	tt0711596:7.6	tt0711603:7.9	
2	tt0711497:7.6	tt0711502:7.9	tt0711506:8.0	tt0711509:7.6	tt0711512:7.7	tt0711513:7.3	tt0711520:7.8	tt0711526:7.8	tt0711527:7.7	tt0711531:7.8	tt0711535:7.8	tt0711550:7.9	tt0711553:7.4	tt0711568:7.9	tt0711580:7.3	tt0711585:7.6	tt0711587:7.8	tt0756598:7.8	tt0779690:7.9	tt0792758:7.8	tt0792760:7.7	tt0792761:7.6	tt0793266:7.7	
4	tt0711500:7.6	tt0711511:6.8	tt0711515:8.0	tt0711519:7.6	tt0711539:7.7	tt0711546:7.7	tt0711547:7.3	tt0711551:7.9	tt0711552:8.0	tt0711555:7.6	tt0711560:7.9	tt0711561:8.3	tt0711562:6.5	tt0711565:6.8	tt0711566:7.6	tt0711570:7.9	tt0711571:6.3	tt0711577:6.9	tt0711579:8.0	tt0711581:7.8	tt0711599:8.1	tt0711601:6.7	tt0711602:7.5	
3	tt0711501:7.8	tt0711504:7.7	tt0711514:7.9	tt0711522:7.7	tt0711523:7.6	tt0711524:8.1	tt0711525:7.4	tt0711533:7.9	tt0711538:7.7	tt0711540:8.0	tt0711543:8.3	tt0711544:8.0	tt0711545:7.8	tt0711548:7.1	tt0711557:7.5	tt0711558:7.9	tt0711563:7.7	tt0711569:7.5	tt0711572:7.8	tt0711573:7.8	tt0711583:7.9	tt0711584:8.3	tt0711592:7.9	
