7	tt10133394:8.8	tt10133398:-	tt10133400:8.6	tt10133402:-	tt10195302:-	tt10195304:-	tt10195306:-	tt10243876:-	tt10287944:-	tt10318250:8.6	
8	tt12220988:-	tt12222684:-	tt12222690:-	tt12222694:-	tt12222708:-	tt12222738:-	tt12222746:-	tt12222748:-	
4	tt5463432:7.5	tt5463434:7.4	tt5463436:7.7	tt5463438:8.0	tt5463440:7.7	tt5463770:8.0	tt5463772:7.8	tt5463774:7.5	tt6500412:8.2	
1	tt5463442:-	tt5463444:-	tt5463446:-	tt5463448:-	tt5463450:-	tt5463452:-	tt5463456:-	tt5463458:-	tt5463460:-	
2	tt5463468:-	tt5463470:-	tt5463472:-	tt5463474:-	tt5463476:-	tt5463478:-	tt5463482:-	tt5463484:-	tt5463486:-	
3	tt5463496:-	tt5463498:-	tt5463500:-	tt5463502:-	tt5463504:-	tt5463506:-	tt5463512:-	tt5463516:-	tt5463518:-	
5	tt6475004:8.2	tt6475006:8.1	tt6475008:8.8	tt6475010:8.7	tt6475012:8.8	tt6475014:-	tt6475016:7.8	tt6475018:8.3	tt6500420:-	tt6737204:-	
6	tt8198438:8.4	tt8198440:8.2	tt8198446:8.2	tt8269318:7.8	tt8320608:-	tt8376112:-	tt8444370:-	tt8444372:-	tt8444380:-	
