1	tt14557432:-	tt14557436:-	tt14557438:-	tt5266046:-	tt5266058:-	
2	tt14557442:-	tt14557444:-	tt5266048:-	tt8219156:-	
3	tt14557448:-	tt14557450:-	tt14557454:-	tt14557458:-	
