1	tt0667594:7.9	tt0667597:8.1	tt0667601:8.1	tt0836377:8.1	tt0836383:8.0	tt0836384:7.6	tt0836385:7.6	tt0836390:7.9	tt0836391:8.0	tt0836393:7.5	tt0836396:8.0	tt0836398:8.4	tt0837706:8.8	tt0837707:8.1	tt0837708:8.2	tt0837709:7.8	tt0839229:8.1	tt0839231:8.4	tt0839232:8.5	tt0839234:8.1	tt0839235:8.1	tt0839237:8.1	tt0839241:8.0	tt0839243:8.4	tt0839244:8.5	tt0839245:8.6	tt0839246:7.9	tt0839249:8.1	tt0839252:7.8	tt0839255:8.5	tt0839260:7.6	tt0839263:8.1	tt0839267:7.9	tt0839268:8.5	tt0839270:8.1	tt0839272:7.9	tt0839274:7.8	tt0839276:8.1	
3	tt0667595:7.3	tt0667598:7.4	tt0667599:7.9	tt0667600:7.6	tt0761802:8.4	tt0835212:7.4	tt0835213:7.8	tt0835214:8.0	tt0835215:7.4	tt0835216:8.6	tt0835217:7.4	tt0835218:7.4	tt0835219:8.1	tt0835393:6.8	tt0836375:8.4	tt0836376:-	tt0836381:7.5	tt0836382:8.2	tt0836387:8.3	tt0836394:7.4	tt0836395:8.2	tt0836399:7.4	tt0836400:7.8	tt0838038:7.5	tt0838039:8.2	tt0838040:7.9	tt0838041:7.3	tt0838042:7.7	tt0838043:7.6	tt0838044:8.2	
2	tt0667596:8.3	tt0836378:8.3	tt0836379:8.4	tt0836380:7.8	tt0836386:8.1	tt0836388:8.3	tt0836389:8.6	tt0836392:8.2	tt0836397:7.2	tt0836401:7.3	tt0839225:8.1	tt0839227:7.4	tt0839228:7.6	tt0839230:8.7	tt0839236:8.3	tt0839239:8.7	tt0839240:8.3	tt0839247:8.6	tt0839248:7.6	tt0839250:8.7	tt0839254:8.5	tt0839256:8.2	tt0839258:-	tt0839259:8.3	tt0839261:7.7	tt0839262:8.1	tt0839265:8.1	tt0839266:8.6	tt0839269:7.9	tt0839271:7.6	tt0839273:8.5	
4	tt0667602:8.5	tt0667603:7.6	tt0836979:7.5	tt0836980:7.9	tt0836981:8.3	tt0836982:8.1	tt0836983:7.8	tt0836984:8.5	tt0836985:7.8	tt0836986:7.5	tt0839224:9.0	tt0839226:8.2	tt0839233:8.4	tt0839238:8.2	tt0839242:8.1	tt0839251:8.4	tt0839253:8.2	tt0839257:8.3	tt0839264:8.2	tt0839275:8.1	tt0839277:8.6	tt0840916:8.5	tt0840917:8.2	tt0840918:7.3	tt0840919:8.7	tt0840920:7.8	tt0840921:7.9	tt0840922:8.3	tt0840923:8.2	tt0840924:8.5	tt0840925:8.2	
