1	tt0102643:6.9	tt0658867:6.6	tt0658872:7.0	tt0658880:7.2	
2	tt0105440:7.0	tt0658865:6.9	tt0658868:7.5	tt0658870:7.5	tt0658884:7.4	tt0658896:6.8	tt0658898:6.6	
7	tt0284344:5.6	tt0658885:6.6	tt0658893:7.5	
6	tt0658861:6.7	tt0658864:6.8	tt0658871:-	tt0658886:6.7	tt0658887:6.7	tt0658894:6.8	
3	tt0658862:7.6	tt0658863:6.8	tt0658873:6.7	tt0658881:7.2	tt0658890:6.8	tt0658892:6.8	
5	tt0658869:6.7	tt0658875:6.6	tt0658876:6.4	tt0658879:-	tt0658891:6.6	tt0658897:6.5	
8	tt0658874:-	tt0658883:6.8	tt0846183:-	
4	tt0658877:6.4	tt0658882:6.2	tt0658888:6.8	tt0658889:6.9	
