2	tt0714288:6.8	tt0714290:7.2	tt0714291:7.0	tt0714296:7.3	tt0714298:7.1	tt0853043:6.7	tt0853047:7.3	tt0853049:8.4	tt0853050:6.6	tt0853051:7.1	tt0853052:6.9	tt0853054:7.0	
1	tt0714289:7.1	tt0714292:8.5	tt0714293:7.6	tt0714294:6.6	tt0714295:6.9	tt0714297:7.1	tt0853042:7.5	tt0853044:6.9	tt0853045:6.7	tt0853046:7.4	tt0853048:7.3	tt0853053:6.7	
3	tt1093766:6.8	tt1110828:6.8	tt1115816:6.3	tt1120718:6.2	tt1125729:7.2	tt1133814:6.9	tt1136547:6.6	tt1140791:6.6	tt1143723:6.9	tt1150845:7.0	tt1154643:6.9	tt1157334:6.7	tt1163693:7.4	
4	tt1296123:6.9	tt1299262:6.7	tt1309131:6.5	tt1309132:7.0	tt1310297:7.0	tt1314118:6.8	tt1317971:-	tt1321077:7.2	tt1324751:-	tt1328443:-	tt1335774:6.8	tt1338943:7.7	tt1342754:7.5	
