1	tt0712783:8.6	tt0712784:8.0	tt0712786:8.3	tt0712789:8.7	tt0712790:8.2	tt0712796:8.6	tt0712797:8.9	tt0712803:6.7	tt0712804:9.0	tt0712809:8.6	tt0712810:7.0	tt0712813:8.3	tt0712816:8.8	tt0712823:8.6	tt0712825:8.7	tt0712827:8.7	tt0712830:8.6	tt0712834:8.6	
3	tt0712785:8.8	tt0712787:8.3	tt0712791:8.3	tt0712795:8.7	tt0712799:8.4	tt0712800:8.5	tt0712801:6.8	tt0712808:7.7	tt0712811:8.6	tt0712815:8.7	tt0712817:8.9	tt0712818:8.6	tt0712819:8.5	tt0712820:8.4	tt0712821:8.7	tt0712822:7.7	tt0712832:8.3	tt0712837:8.0	tt0712838:8.7	
2	tt0712788:9.0	tt0712792:8.5	tt0712793:8.0	tt0712794:8.6	tt0712798:8.5	tt0712802:8.6	tt0712805:8.7	tt0712806:8.5	tt0712807:8.8	tt0712812:8.6	tt0712814:8.7	tt0712824:8.3	tt0712826:8.4	tt0712828:7.9	tt0712829:8.5	tt0712831:8.5	tt0712833:9.2	tt0712835:8.9	tt0712836:8.7	
