\N	tt0421115:6.3	tt0518520:5.1	tt0518521:-	tt0518522:8.3	tt0518523:-	tt0518524:-	tt0518525:-	tt0931458:-	tt0931459:4.2	tt0945674:-	tt0945675:-	tt0976308:-	tt0997860:-	tt1021244:-	tt1134121:7.4	tt1185699:-	tt13323040:-	tt1334724:-	tt1359608:-	tt1363207:-	tt1363208:-	tt1363209:3.3	tt1479520:-	tt1479521:-	tt1562818:-	tt1790497:-	tt1790498:6.1	tt2142549:4.6	tt2421526:-	tt2568720:-	tt3156478:-	tt3387614:-	tt3396198:7.1	tt4273918:2.0	tt5349948:-	tt6020184:9.2	tt7139088:-	tt9256756:-	
1	tt0518509:8.5	tt0518510:-	tt0518511:-	
2	tt0518512:-	tt0518513:-	tt0518514:-	
5	tt0518515:6.6	tt0518516:-	tt0518517:-	
6	tt0518518:-	tt0518519:6.7	
29	tt0518526:-	tt0760066:1.9	
30	tt0760421:4.0	tt0771372:-	
31	tt0836020:8.0	tt0928209:5.2	
