9	tt10596836:-	tt10596838:-	tt10596840:-	tt10596844:-	
10	tt10765294:-	tt10765298:-	tt10765302:-	tt10765306:-	tt10765308:-	
11	tt10971440:-	tt11473358:-	tt11473362:-	tt11473364:-	
1	tt8086318:-	tt8086326:-	tt8086328:-	tt8086330:-	
2	tt8199092:-	tt8212992:-	tt8212994:-	tt8213000:-	
3	tt8394846:-	tt8427510:-	tt8427512:-	tt8427514:-	
4	tt8587152:-	tt8587154:-	tt8587156:-	tt8587158:-	tt8947018:-	
5	tt8960070:-	tt8960072:-	tt8960074:-	tt8960076:-	tt8960078:-	
6	tt9356396:-	tt9356404:-	tt9356416:-	tt9356418:-	
7	tt9734220:-	tt9734222:-	tt9734224:-	tt9734230:-	
8	tt9824676:-	tt9834686:-	tt9834688:-	tt9834690:-	
