1	tt7933570:-	tt7933574:-	tt7933578:-	tt7933584:-	tt7933588:-	tt7933592:-	tt7933598:-	tt7933602:-	tt7933604:-	tt7933606:-	tt7933608:-	tt7933610:-	tt7933614:-	tt7933616:-	tt7933622:-	tt7933640:-	tt7933642:-	tt7933644:-	tt7933650:-	tt7933654:-	tt7933658:-	tt7933662:-	tt7933664:-	
2	tt7933694:-	tt7933698:-	tt7933700:-	tt7933706:-	tt7933718:-	tt7933726:-	tt7933730:-	tt7933736:-	tt7933746:-	tt7933754:-	tt7933756:-	tt7933768:-	tt7933770:-	tt7933772:-	tt7933790:-	tt7933804:-	tt7933810:-	tt7933812:-	tt7933816:-	tt7933822:-	tt7933828:-	tt7933830:-	tt7933834:-	tt7933842:-	
3	tt7933846:-	tt7933852:-	tt7933856:-	tt7933858:-	tt7937292:-	tt7937296:-	tt7937300:-	tt7937304:-	tt7937314:-	tt7937320:-	tt7937334:-	tt7937340:-	tt7937348:-	tt7937398:-	tt7937404:-	tt7937408:-	tt7937412:-	tt7937416:-	tt7937422:-	tt7937426:-	tt7937430:-	tt7937432:-	tt7937444:-	tt7937450:-	tt7937452:-	tt7937458:-	
4	tt7937464:-	tt7937494:-	tt7937500:-	tt8060090:-	tt8060094:-	tt8060100:-	tt8060108:-	tt8065418:-	tt8065424:-	tt8065432:-	tt8065436:-	tt8065446:-	tt8065452:-	tt8065456:-	tt8065466:-	tt8065470:-	tt8065480:-	tt8065482:-	tt8065488:-	tt8065494:-	tt8065498:-	tt8065506:-	tt8065516:-	tt8065526:-	
5	tt8065540:-	tt8065546:-	tt8065552:-	tt8065554:-	tt8065560:-	tt8065566:-	tt8065568:-	tt8065572:-	tt8065578:-	tt8065586:-	tt8065596:-	tt8065602:-	tt8065606:-	tt8065608:-	tt8065612:-	tt8065622:-	tt8065626:-	tt8065628:-	tt8065634:-	tt8065640:-	tt8065642:-	tt8065646:-	tt8065648:-	tt8065650:-	
