1	tt0653018:5.0	tt0653019:5.3	tt0653024:5.0	tt0653030:5.3	tt0653032:5.2	tt0653033:-	tt0653039:5.4	tt0768446:4.7	tt1215951:5.9	tt1215952:4.9	tt1215953:6.1	tt1215954:5.4	tt1215955:5.0	tt1215956:4.9	tt1215957:-	tt1215958:5.3	tt1215959:6.0	tt1215960:4.8	tt1215961:5.3	tt1215962:5.2	tt1215963:5.5	tt1215964:4.3	tt1215965:4.2	tt1215966:4.9	tt1215967:4.9	
3	tt0653020:5.0	tt0653021:5.0	tt0653023:4.8	tt0653025:5.1	tt0653026:4.8	tt0653027:4.2	tt0653036:4.2	tt0653038:6.6	tt1013793:5.3	tt1248271:4.8	tt1350262:5.2	tt1394795:-	tt1461372:-	tt1461373:-	tt1461374:-	tt1472512:6.8	tt1472513:-	tt1472514:5.2	tt1472515:-	tt1472516:-	tt1472517:-	tt1472518:5.4	tt1472519:5.0	tt1472520:-	
2	tt0653022:5.8	tt0653028:3.7	tt0653029:4.8	tt0653031:4.8	tt0653034:5.6	tt0653035:6.2	tt0653037:4.1	tt0767112:5.0	tt0990822:6.0	tt1461375:5.6	tt1461376:-	tt1461377:6.2	tt1461378:-	tt1461379:5.2	tt1461380:4.8	tt1465400:-	tt1465401:-	tt1465402:-	tt1465403:-	tt1465404:5.2	tt1465405:-	tt1465406:-	tt1465407:-	tt1465408:-	
