\N	tt10994430:-	tt11015102:-	tt11119030:-	tt3071948:-	tt3079474:-	tt3174402:6.8	tt3514100:-	tt3970950:-	tt9911644:-	tt9911748:-	
1	tt2698266:7.2	tt2698276:7.6	tt2698284:7.8	tt2698294:6.5	tt2709572:7.3	tt2709574:6.9	tt2709582:7.3	tt2709588:7.2	tt2709594:7.1	tt2709596:7.0	
2	tt2812880:-	tt2812886:7.0	tt2812896:-	tt2812914:-	tt2812936:-	tt2894080:6.5	tt2894082:-	tt2894098:6.3	tt2894100:6.5	tt2894118:7.6	
3	tt3174462:6.7	tt3174480:6.3	tt3174502:6.4	tt3174528:-	tt3174564:-	tt3181226:7.0	tt3181242:5.6	tt3223834:-	tt3234032:-	tt3264504:6.2	tt3289100:6.0	tt3291652:6.5	tt6222956:-	
4	tt3367804:-	tt3431176:-	tt3617364:6.2	tt3622946:6.0	tt3633798:-	tt3711104:-	tt3737900:-	tt3746496:6.2	tt4417398:-	tt4420100:-	
5	tt6759922:-	tt6759956:-	tt6759964:-	tt7328056:-	tt7394616:-	tt7398970:-	tt7399000:-	tt7399048:-	tt7399066:-	tt7399086:-	
