\N	tt10999936:-	tt6712726:-	tt6712734:-	tt8286702:-	
62	tt11000646:-	
1	tt6712098:-	tt6712100:-	tt6712102:-	tt6712106:-	tt6712108:-	tt6712110:-	tt6712114:-	tt6712116:-	tt6712120:-	tt6712122:-	tt6712126:-	tt6712130:-	tt6712134:-	tt6712144:-	tt6712156:-	tt6712172:-	tt6712176:-	tt6712210:-	tt6712238:-	tt6712240:-	tt6712244:-	tt6712248:-	tt6712250:-	tt6712254:-	tt6712256:-	tt6712260:-	tt6712264:-	tt6712270:-	tt6712276:-	tt6712280:-	tt6712292:-	tt6712298:-	tt6712300:-	tt6712304:-	tt6712310:-	tt6712322:-	tt6712334:-	tt6712342:-	tt6712348:-	tt6712350:-	tt6712352:-	tt6712354:-	tt6712358:-	tt6712360:-	tt6712364:-	tt6712366:-	tt6712368:-	
2	tt6712418:-	
3	tt6712434:-	
4	tt6712444:-	
5	tt6712450:-	
6	tt6712456:-	
7	tt6712462:-	
8	tt6712468:-	
9	tt6712474:-	
10	tt6712480:-	
11	tt6712486:-	
12	tt6712494:-	
13	tt6712504:-	
14	tt6712518:-	
15	tt6712520:-	
16	tt6712526:-	
17	tt6712528:-	
18	tt6712532:-	
19	tt6712536:-	
20	tt6712542:-	
21	tt6712556:-	
22	tt6712570:-	
23	tt6712578:-	
24	tt6712584:-	
25	tt6712594:-	
26	tt6712598:-	
27	tt6712604:-	
28	tt6712610:-	
29	tt6712618:-	
30	tt6712620:-	
31	tt6712622:-	
32	tt6712628:-	
33	tt6712634:-	
34	tt6712642:-	
35	tt6712660:-	
36	tt6712664:-	
37	tt6712676:-	
38	tt6712680:-	
39	tt6712686:-	
40	tt6712694:-	
41	tt6712704:-	
42	tt6712712:-	
43	tt6712714:-	
44	tt6712720:-	
45	tt6712724:-	
47	tt6712738:-	
48	tt6712740:-	
49	tt6712742:-	
50	tt6712746:-	
51	tt6712750:-	
52	tt6712756:-	
53	tt6712758:-	
54	tt6712760:-	
55	tt6712762:-	
56	tt6712764:-	
57	tt6712766:-	
58	tt6712768:-	
59	tt6712770:-	
61	tt8286706:-	tt8286752:-	tt8442716:-	
