6	tt10080272:-	tt10080280:-	tt10080290:-	tt10080326:-	tt10080334:-	tt10080346:-	tt10080352:-	tt10080364:-	
7	tt10080368:8.4	tt10080426:-	tt10080438:-	tt10080452:-	tt10080456:-	tt10080458:-	tt10080464:-	tt12924224:-	
8	tt11170724:8.6	tt11173300:8.8	tt11173302:-	tt11173306:8.0	tt11173310:7.8	tt11173312:8.0	tt12924128:-	
9	tt11719642:8.0	tt11770332:8.8	tt11874936:8.2	tt12924152:-	tt13427752:-	tt13427758:-	tt13427804:-	tt13436402:-	tt13502062:-	tt13515840:-	
5	tt8427822:8.3	tt8427824:7.4	tt8427826:8.5	tt8427828:8.5	tt8427830:8.5	tt8427834:8.3	
4	tt8427836:7.8	tt9591808:8.6	tt9591814:7.8	tt9591834:7.8	tt9591840:8.0	tt9591844:8.6	tt9591850:7.7	tt9591858:7.9	tt9591864:8.3	tt9591872:7.8	
3	tt8427840:8.3	tt9800918:7.8	tt9801036:8.4	tt9801198:8.4	tt9801470:8.4	tt9801612:7.8	tt9801758:7.8	
2	tt8427842:7.8	tt9778978:8.3	tt9779114:7.5	tt9779436:8.0	tt9798764:8.3	tt9798786:8.4	
1	tt8427844:8.8	tt9575246:8.3	tt9575256:8.3	tt9776526:-	tt9777828:-	tt9777860:-	
