1	tt2336802:8.4	tt2471032:8.1	tt2748256:8.2	tt2748258:7.8	tt2748260:8.4	tt2748262:-	tt2748264:-	tt2748266:8.4	tt2748268:8.3	tt2748270:7.2	tt3506258:-	
2	tt2748276:7.7	tt2783040:9.3	tt2800742:8.7	tt2853928:-	tt2961800:-	tt2961804:-	tt2961810:-	tt2961812:9.4	tt2961822:-	tt2961826:-	
3	tt3751290:9.0	tt3895550:9.5	tt4108934:9.2	tt4139250:9.4	tt4139254:9.3	tt4139258:9.8	tt4139264:8.8	tt4139268:9.6	tt4139274:9.6	tt4139276:9.6	
