4	tt0540444:6.4	tt0540446:6.8	tt0540451:6.8	tt0540453:6.4	tt0540454:7.0	tt0540461:6.0	tt0540464:6.2	tt0540466:6.8	tt0540469:5.0	tt0540472:6.3	tt0540490:6.6	tt0540493:7.0	tt0540499:6.8	tt0540500:6.2	tt0540502:-	tt0540504:6.0	tt0540512:6.0	tt0540520:6.0	tt0540523:-	tt0540528:6.2	tt0540529:4.8	tt0789379:7.0	tt0789380:8.0	
3	tt0540445:6.8	tt0540449:5.8	tt0540452:6.5	tt0540455:7.6	tt0540458:8.2	tt0540459:6.7	tt0540460:6.9	tt0540463:6.2	tt0540465:6.6	tt0540467:6.1	tt0540471:5.8	tt0540474:6.8	tt0540477:6.2	tt0540479:6.5	tt0540481:6.4	tt0540483:6.8	tt0540488:7.4	tt0540494:6.2	tt0540497:6.9	tt0540509:6.8	tt0540527:6.7	
2	tt0540447:7.0	tt0540448:7.2	tt0540456:6.8	tt0540457:8.5	tt0540480:6.9	tt0540482:7.1	tt0540492:6.2	tt0540495:6.7	tt0540501:7.4	tt0540505:7.9	tt0540506:8.3	tt0540508:6.7	tt0540510:6.9	tt0540513:7.2	tt0540514:6.8	tt0540515:7.1	tt0540518:6.9	tt0540519:7.1	tt0540521:6.8	tt0540522:7.0	tt0540525:7.1	tt0540526:7.0	
1	tt0540450:7.3	tt0540462:6.9	tt0540468:7.1	tt0540470:7.2	tt0540473:6.8	tt0540475:6.3	tt0540476:7.8	tt0540478:6.9	tt0540484:6.7	tt0540485:6.4	tt0540486:7.0	tt0540487:6.7	tt0540489:7.1	tt0540491:8.2	tt0540496:7.0	tt0540498:7.7	tt0540503:7.1	tt0540507:6.9	tt0540511:7.1	tt0540516:6.6	tt0540517:7.4	tt0540524:6.6	
