\N	tt10334614:-	tt10334690:-	tt10334732:-	tt6359560:-	
1	tt3075590:6.8	tt3075604:7.3	tt3075664:7.6	
2	tt5519806:8.6	tt5519808:-	tt5519810:8.7	
3	tt5772216:-	tt5772222:-	tt5772224:-	
4	tt9343590:-	tt9343600:-	tt9343604:-	tt9343606:-	tt9343610:-	
