1	tt0107596:8.2	tt0107746:7.9	tt0185420:8.2	tt0534997:8.0	
3	tt0111272:7.9	tt0534995:8.2	tt0534996:7.9	
2	tt0534986:8.3	tt0534990:8.3	tt0534998:8.5	
4	tt0534991:7.9	tt0534993:7.9	tt0534994:8.1	
