1	tt5896382:7.8	tt5896384:7.7	tt5896386:7.4	tt5912054:7.7	tt5931392:7.6	tt5936796:7.9	tt5960440:8.0	tt5978536:7.7	tt6014400:7.9	tt6036398:8.2	tt6055022:8.2	
2	tt6063844:7.6	tt6083456:7.1	tt6134900:6.9	tt6150610:8.1	tt6304278:7.2	tt6304282:6.9	tt6304316:7.4	tt6304322:7.4	tt6313852:7.5	tt6928858:7.8	tt6928862:7.9	tt6928864:7.5	
3	tt7957328:8.5	tt7957338:8.1	tt7957342:8.1	tt7957356:7.8	tt7957360:8.0	tt7957362:8.0	tt7957368:8.2	tt7970490:8.0	tt7970492:8.2	tt7970496:8.0	tt8413260:8.3	tt8413264:8.6	
