1	tt0345881:4.1	tt0692045:-	tt0692051:-	tt0692052:-	tt0692053:-	tt0692059:-	tt0692064:-	tt0692067:-	tt0692068:-	
4	tt0692026:-	tt0692029:-	tt0692033:-	tt0692041:-	tt0692044:-	tt0692048:-	tt0692058:-	tt0692069:-	
5	tt0692027:-	tt0692031:-	tt0692039:-	tt0692040:-	tt0692042:-	tt0692043:-	tt0692050:-	tt0692070:-	
2	tt0692028:-	tt0692046:-	tt0692055:-	tt0692056:-	tt0692061:-	tt0692062:-	tt0692063:-	tt0692066:-	
3	tt0692030:-	tt0692032:-	tt0692034:-	tt0692035:-	tt0692036:-	tt0692037:-	tt0692038:-	tt0692047:-	tt0692049:-	tt0692054:-	tt0692057:-	tt0692060:-	tt0692065:-	
\N	tt2213327:-	
