4	tt0711172:-	tt0711192:-	tt0711193:-	tt0711194:-	tt0711195:-	tt0711197:-	
5	tt0711173:-	tt0711174:-	tt0711175:-	tt0711180:-	tt0711196:-	tt0711199:-	tt0711202:-	
1	tt0711176:8.9	tt0711178:8.2	tt0711183:8.2	tt0711187:8.0	tt0711190:8.0	tt0711191:8.7	tt0711198:7.7	
3	tt0711177:-	tt0711182:-	tt0711186:-	tt0711188:-	tt0711189:-	tt0711201:-	tt0711203:-	
2	tt0711179:-	tt0711181:7.6	tt0711184:-	tt0711185:-	tt0711200:-	
