1	tt10256226:-	tt10256406:-	tt10256416:-	tt10256428:-	tt10256436:-	tt10256444:7.8	tt10256454:-	tt10256458:-	tt10256462:-	tt10256466:-	tt10256470:-	
2	tt10256228:-	tt10262530:-	tt10262540:8.6	tt10262544:-	tt10262548:-	tt10262552:-	tt10262554:-	tt10262558:-	tt10262562:-	tt10262572:-	
3	tt10256382:-	tt10262526:-	tt10285630:-	tt10324040:-	tt10351126:-	tt10360298:-	tt10451866:-	tt10453702:-	tt10462618:-	tt10462654:-	
