1	tt14508590:9.6	tt14508612:10.0	tt14508628:10.0	tt14508642:9.8	
2	tt14508652:10.0	tt14508744:9.8	tt14508746:9.8	tt14508748:8.8	tt14508750:10.0	
3	tt14794558:-	tt14794678:-	tt14794804:-	tt14794910:-	tt14794996:-	
