3	tt10540650:7.4	tt11768808:7.2	tt11768822:7.3	tt11768840:7.3	tt11768844:7.3	tt11768850:7.3	
1	tt5698158:6.7	tt5698160:7.2	tt5698162:7.1	tt5709488:7.3	tt5730314:7.4	tt5750844:7.2	tt6265622:7.7	
2	tt6711884:7.7	tt6711890:7.6	tt6711892:7.2	tt6711894:7.2	tt6711898:7.3	tt6711900:7.4	tt8385466:7.9	
