16	tt10020556:-	tt10529366:-	tt12222814:-	tt12222830:-	tt12222838:-	tt12222872:-	tt12222900:-	tt12222922:-	tt12223060:-	tt12223088:-	tt12223108:-	tt12223138:-	tt12223164:-	tt12223554:-	
10	tt10021702:-	tt10021710:-	tt12194476:-	tt12194492:-	tt12194518:-	tt12194534:-	tt12194540:-	tt12194582:-	tt12194590:-	tt12194606:-	tt12194622:-	tt12194628:-	tt12194636:-	tt12194648:-	
13	tt10695140:-	tt12170710:-	tt12199894:-	tt12199898:-	tt12199922:-	tt12199968:-	tt12199992:-	tt12200136:-	tt12200168:-	tt12200234:-	tt12200240:-	tt12200258:-	tt12200270:-	tt12200290:-	
8	tt10820556:-	tt10820578:-	tt12193954:-	tt12193956:-	tt12193966:-	tt12193974:-	tt12194100:-	tt7140804:-	tt7140822:-	tt7140824:-	tt7143544:-	tt7144414:-	tt7144418:-	tt7144420:-	
7	tt10820584:-	tt10820624:-	tt12179898:-	tt12180000:-	tt12180010:-	tt12180074:-	tt12180190:-	tt12180236:-	tt12182490:-	tt12182626:-	tt12183058:-	tt12183070:-	tt12183084:-	tt7693320:-	
18	tt11130996:-	tt13472374:-	tt13472402:-	tt13523338:-	tt13523348:-	
17	tt11659110:-	tt11659116:-	tt11659146:-	tt12229438:-	tt12229452:-	tt12229462:-	tt12229470:-	tt12229478:-	tt12229490:-	tt12229500:-	tt12229520:-	tt12229530:-	tt12229604:-	tt12229612:-	
12	tt12170674:-	tt12170686:-	tt12170696:-	tt12677786:-	tt12683134:-	tt12683148:-	tt12684032:-	tt12736316:-	tt12736336:-	tt12736342:-	tt12736716:-	tt12736778:-	tt12820988:-	tt12826886:-	
14	tt12176282:-	tt12176322:-	tt12206102:-	tt12206114:-	tt12206140:-	tt12206150:-	tt12206168:-	tt12206180:-	tt12206182:-	tt12206194:-	tt12209028:-	tt12209050:-	tt12209062:-	tt12209222:-	tt13263930:-	
1	tt12177404:-	tt12177418:-	tt3674382:-	tt3674400:-	tt3674402:-	tt3674404:-	tt3674406:-	tt3674420:-	tt3688400:-	tt3688404:-	tt3826184:-	tt3826192:-	tt3826194:-	tt4096972:-	
2	tt12177446:-	tt12177460:-	tt4372394:-	tt4372396:-	tt4372398:-	tt4372402:-	tt4372404:-	tt4372408:-	tt4372410:-	tt4372414:-	tt4372418:-	tt4372420:-	tt4531568:-	tt4531572:-	
3	tt12177558:-	tt4491590:-	tt4491656:-	tt4491668:-	tt4491670:-	tt4491672:-	tt4491678:-	tt4491682:-	tt4491688:-	tt4531550:-	tt4531582:-	tt4531584:-	tt4531588:-	tt4531590:-	
4	tt12177906:-	tt13264282:-	tt5824228:-	tt5824230:-	tt5824232:-	tt5824236:-	tt5824238:-	tt5824240:-	tt5824242:-	tt5824244:-	tt5824246:-	tt5824248:-	tt5824254:-	tt5824256:-	tt5837978:-	
6	tt12178408:-	tt12178598:-	tt12178632:-	tt12179202:-	tt12179314:-	tt12179538:-	tt12179656:-	tt9188228:-	tt9188254:-	tt9188260:-	tt9188280:-	tt9188292:-	tt9188312:-	tt9188330:-	
9	tt12194116:-	tt12194120:-	tt12194124:-	tt12194130:-	tt12194146:-	tt12194156:-	tt12194170:-	tt12194196:-	tt12194440:-	tt7144424:-	tt7144428:-	tt7144430:-	tt7144432:-	tt7144434:-	
11	tt12194670:-	tt12194674:-	tt12194684:-	tt12194694:-	tt12194778:-	tt12194828:-	tt12194840:-	tt12194852:-	tt12194870:-	tt12194882:-	tt12194908:-	tt12195148:-	tt12195214:-	tt12195240:-	
15	tt12209478:-	tt12209554:-	tt12211360:-	tt12211398:-	tt12217428:-	tt12217478:-	tt12217520:-	tt12217606:-	tt12217742:-	tt12217766:-	tt12217802:-	tt12217816:-	tt12217844:-	tt12217858:-	tt13263848:-	
19	tt12229680:-	tt12229684:-	tt12229716:-	tt12229726:-	tt12229736:-	tt12229748:-	tt12229760:-	tt12229768:-	tt12229790:-	tt12229822:-	tt12229840:-	tt12229852:-	tt12229860:-	tt12229890:-	
5	tt13264518:-	tt5619466:-	tt5624292:-	tt5624306:-	tt5824258:-	tt5824260:-	tt5824262:-	tt5824264:-	tt5824266:-	tt5824270:-	tt5824272:-	tt5824274:-	tt5824276:-	tt5824278:-	tt5824280:-	
