5	tt10012856:-	tt10012980:-	tt10025384:-	tt10051138:-	tt10051156:-	tt10088596:-	tt10124052:-	tt10124196:-	tt10124240:-	tt10144058:-	tt10144108:-	tt10197584:-	tt10197602:-	tt10197618:-	tt10219866:-	tt10256936:-	tt10256980:-	tt10268394:-	tt10292570:-	tt10292700:-	tt10324724:-	tt10324794:-	tt10325082:-	tt10368430:-	tt10401008:-	tt10401360:-	tt10401448:-	tt10434144:-	tt10434260:-	tt10456406:-	tt10471534:-	tt10471636:-	tt10514022:-	tt10514050:-	tt10549090:-	tt10549098:-	tt10582592:-	tt10603388:-	tt10616320:-	tt10616424:-	tt10616508:-	tt10653518:-	tt10653612:-	tt10688226:-	tt10688554:-	tt10730944:-	tt10735308:-	tt10765966:-	tt10766008:-	tt10766094:-	tt10802364:-	tt10802600:-	tt10842956:-	tt10843052:-	tt10884416:-	tt10884568:-	tt10918246:-	tt10918312:-	tt10918378:-	tt10945332:-	tt10945390:-	tt10976774:-	tt10976816:-	tt10978320:-	tt11012778:-	tt11053936:-	tt11054022:-	tt11054162:-	tt11095298:-	tt11095490:-	tt11128442:-	tt11128476:-	tt11128522:-	tt11163114:-	tt11199838:-	tt11199876:-	tt11218892:-	tt11240412:-	tt11240440:-	tt11275908:-	tt11276250:-	tt11276538:-	tt11314648:-	tt11349782:-	tt11349802:-	tt11349852:-	tt11384980:-	tt11384984:-	tt11425576:-	tt11426216:-	tt11426242:-	tt11456262:-	tt11456302:-	tt11483872:-	tt11483920:-	tt9527896:-	tt9528024:-	tt9528164:-	tt9528292:-	tt9535780:-	tt9567076:-	tt9567110:-	tt9567154:-	tt9567172:-	tt9567336:-	tt9567350:-	tt9611940:-	tt9612018:-	tt9672212:-	tt9725254:-	tt9725270:-	tt9725284:-	tt9769212:-	tt9769324:-	tt9769724:-	tt9813310:-	tt9813396:-	tt9813638:-	tt9844980:-	tt9844986:-	tt9879082:-	tt9879260:-	tt9879312:-	
6	tt11531216:-	tt11531252:-	tt11570474:-	tt11570498:-	tt11576080:-	tt11611520:-	tt11611572:-	tt11655666:-	tt11655816:-	tt11693898:-	tt11694010:-	tt11732410:-	tt11732438:-	tt11732490:-	tt11775002:-	tt11775126:-	tt11816858:-	tt11816914:-	tt11860998:-	tt11909432:-	tt11947548:-	tt11990190:-	tt12026848:-	tt12270292:-	tt12315488:-	tt12315660:-	tt12359032:-	tt12359082:-	tt12393532:-	tt12441806:-	tt12441918:-	tt12486230:-	tt12534026:-	tt12581152:-	tt12581298:-	tt12672298:-	tt12672362:-	tt12715540:-	tt12753806:-	tt12753878:-	tt12795210:-	tt12834470:-	tt12835098:-	tt12876158:-	tt12934362:-	tt12977408:-	tt13018466:-	tt13018656:-	tt13099972:-	tt13145196:-	tt13145696:-	tt13232164:-	tt13276580:-	tt13359258:-	tt13400244:-	tt13400400:-	tt13486198:-	tt13530004:-	tt13570572:-	
\N	tt12986704:-	tt8528056:-	tt8820746:-	
4	tt7817682:-	tt7826904:-	tt7843412:-	tt7843430:-	tt7866658:-	tt7869352:-	tt7929242:-	tt7929248:-	tt7929260:-	tt7929266:-	tt7936444:-	tt7941634:-	tt7964816:-	tt7964940:-	tt7971264:-	tt7983718:-	tt7995872:-	tt8005668:-	tt8037588:-	tt8037592:-	tt8055012:-	tt8058572:-	tt8065258:-	tt8098494:-	tt8098498:-	tt8098506:-	tt8190814:-	tt8190818:-	tt8190822:-	tt8190828:-	tt8190844:-	tt8190852:-	tt8190854:-	tt8202422:-	tt8236852:-	tt8236856:-	tt8236860:-	tt8338344:-	tt8338376:-	tt8338424:-	tt8338492:-	tt8338540:-	tt8338568:-	tt8338570:-	tt8338576:-	tt8338580:-	tt8384646:-	tt8384768:-	tt8384820:-	tt8384846:-	tt8384862:-	
3	tt7818002:-	tt7818046:-	
1	tt7909132:-	tt7924984:-	
