9	tt10066104:-	tt10066108:-	tt10066110:-	tt10066112:-	tt10066114:-	tt10209368:-	tt10209370:-	tt10209372:-	tt10209374:-	tt9859864:-	
10	tt11834060:-	tt11963980:-	tt11963982:-	tt11963984:-	tt11963990:-	tt11963992:-	tt11963994:-	tt11963996:-	tt11963998:-	tt11964002:-	
1	tt4067534:-	tt4067538:-	tt4067540:-	tt4067544:-	tt4067546:-	tt4067550:-	tt4067552:-	tt4067556:-	tt4067558:-	tt4067560:-	
2	tt4069798:-	tt4069804:-	tt4069812:-	tt4069822:-	tt4069826:-	tt4069838:-	tt4069846:-	tt4069852:-	tt4069856:-	tt4069860:-	
3	tt4069862:-	tt4069864:-	tt4069868:-	tt4069870:-	tt4069874:-	tt4069876:-	tt4069878:-	tt4069884:-	tt4069886:-	tt4069890:-	
4	tt4069894:-	tt4069902:-	tt4069904:-	tt4069906:-	tt4069910:-	tt4069914:-	tt4069918:-	tt4069920:-	tt4069922:-	tt4069930:-	
5	tt4542284:-	tt4542286:-	tt4542288:-	tt4542290:-	tt4542292:-	tt4542294:-	tt4542296:-	tt4542298:-	tt4542300:-	tt4542302:-	
6	tt5597108:-	tt5597110:-	tt5597112:-	tt5597114:-	tt5597116:-	tt5597118:-	tt5597120:-	tt5597122:-	tt5597124:-	tt5597126:-	
7	tt6761268:-	tt6761272:-	tt6761276:-	tt6761280:-	tt6761282:-	tt6761288:-	tt6761294:-	tt6761296:-	tt6761298:-	tt6761300:-	
8	tt8137316:-	tt8186148:-	tt8186150:-	tt8186156:-	tt8186158:-	tt8186160:-	tt8186164:-	tt8186170:-	tt8186172:-	tt8186180:-	
