8	tt10469814:8.6	tt10481190:8.6	tt10523302:8.2	tt10571690:7.2	tt10626768:-	tt10664528:-	tt10701026:-	tt10740238:-	tt10775580:-	tt10813670:-	tt10855086:-	tt10917248:-	tt10929388:-	
9	tt12455106:-	tt12455108:-	tt12500712:-	tt12548516:-	tt12596162:-	tt12660050:-	tt12703680:-	tt12743078:-	tt12783914:-	tt12809540:8.2	tt12847810:-	tt12911212:-	tt13805446:-	tt13849202:-	tt13896150:-	tt13940028:-	
10	tt14784166:-	tt14848184:-	tt14875174:-	tt14925368:-	
1	tt2217394:8.1	tt2224176:8.2	tt2237142:8.1	tt2277722:8.6	tt2278968:8.0	tt2292570:7.7	tt2292572:8.6	tt2292574:7.9	
2	tt3010704:8.6	tt3042162:8.6	tt3075258:9.1	tt3117344:8.8	tt3129518:8.8	tt3129554:8.1	tt3136968:8.4	tt3153868:9.1	tt3159934:8.8	tt3177824:9.0	tt3177828:9.1	tt3211370:8.4	tt3285020:9.2	tt3303900:9.0	tt3344720:9.3	tt3344722:9.0	
3	tt3775754:7.9	tt3775916:7.3	tt3810018:8.4	tt3810464:8.5	tt3839120:8.6	tt3839124:8.3	tt3841926:8.7	tt3842404:8.8	tt3951896:8.8	tt3952518:9.0	tt3952666:-	tt3952906:9.0	tt3953084:9.0	tt3953208:-	tt4043168:8.3	tt4043266:8.3	tt4043350:8.8	
4	tt4795408:-	tt4795412:8.6	tt4819386:-	tt4851978:-	tt4851998:-	tt4877418:-	tt4899188:-	tt4919440:-	tt5028302:-	tt5028548:8.6	tt5033786:8.2	tt5033990:-	tt5034134:8.6	tt5037608:-	tt5052120:-	tt5066416:-	tt8994544:-	
5	tt5726708:-	tt5731012:8.2	tt5794880:8.0	tt5797212:8.4	tt5797620:8.4	tt5812042:8.2	tt5840152:-	tt5846534:7.8	tt5866174:-	tt5882990:-	tt5912254:-	tt5921924:-	tt5934432:-	tt6016192:-	tt6041364:-	tt6041740:8.2	tt6208350:-	
6	tt7013804:-	tt7013808:8.0	tt7041610:7.0	tt7041624:7.2	tt7106236:-	tt7136954:-	tt7156236:-	tt7156366:-	tt7156536:7.2	tt7210900:7.6	tt7233958:-	tt7297420:-	tt7297508:-	tt7315078:-	tt7393974:-	tt7394448:-	tt7394474:6.6	
7	tt8726328:8.4	tt8759990:7.8	tt8791428:8.6	tt8823556:8.6	tt8859470:7.4	tt8891858:8.4	tt8926376:8.4	tt8961348:8.4	tt8996366:8.2	tt9021004:8.3	tt9082776:8.5	tt9082778:8.4	tt9117212:8.4	tt9152952:8.6	tt9186916:-	tt9224006:7.7	
