\N	tt10770012:-	tt7389976:7.2	tt7942988:7.0	tt8746206:6.1	
1	tt3564990:7.5	tt3757356:6.9	tt3851862:7.7	
2	tt5040932:6.7	tt5078726:6.5	tt5226740:6.6	
3	tt6143606:7.0	tt6165504:7.2	tt6864522:-	
4	tt6235430:5.8	tt6602346:7.5	tt9050318:6.2	
5	tt9074826:6.8	
