1	tt10034110:-	tt10034120:-	tt10034122:-	tt10034128:-	tt10034130:-	tt10039734:-	tt10039742:-	
2	tt10034114:-	tt10034116:-	tt10034118:-	tt10039720:-	tt10039728:-	tt10039746:-	tt10039752:-	tt10039754:-	tt10039762:-	
3	tt10965624:-	tt10965634:-	tt10965656:-	tt10965674:-	tt10965706:-	tt10965746:-	tt10965782:-	tt10965788:-	
4	tt13309906:-	tt13309934:-	tt13309952:-	tt13309958:-	tt13309964:-	tt13309980:-	tt13309986:-	tt13309992:-	
