1	tt2082577:8.1	tt2082578:8.4	tt2082579:8.5	tt2082580:8.5	tt2082581:8.4	tt2082582:8.6	
2	tt2238586:8.6	tt2506232:8.5	tt2506234:8.3	tt2506236:8.6	tt2506240:8.5	tt2506242:8.5	tt2506244:8.5	tt2506246:9.0	tt2506248:8.5	
3	tt3022272:8.8	tt3022290:8.5	tt3101168:8.7	tt3101188:8.7	tt3101232:9.0	tt3202548:8.8	tt3202620:8.5	tt3254364:8.7	tt3254372:9.0	
4	tt3659120:8.9	tt3659122:8.6	tt3659126:8.6	tt3659128:8.5	tt3659132:8.5	tt3659134:8.4	tt3659136:8.6	tt3659138:8.6	tt3659140:8.5	
5	tt4168506:8.8	tt4168570:8.6	tt4168572:8.5	tt4168574:8.5	tt4168576:8.6	tt4168582:8.5	tt4168584:9.0	tt4168586:8.6	tt4168588:9.1	
6	tt5506884:8.2	tt5533194:8.4	tt5753042:8.6	tt5767246:8.5	tt5767248:8.2	tt5767250:8.4	tt5767252:8.6	tt5767258:8.3	tt5767260:8.8	
7	tt6269458:8.7	tt6269468:8.5	tt6269472:8.4	tt6269474:8.3	tt6269476:8.0	tt6269478:8.2	tt6269480:8.5	tt6269482:9.1	tt6269484:9.1	
8	tt6269460:8.7	tt6269486:8.6	tt6269488:8.8	tt6269490:8.3	tt6269492:8.4	tt6269498:8.1	tt6269500:8.3	tt6269502:8.8	tt6269504:8.5	
9	tt6269464:8.0	tt6269508:-	tt6269510:-	tt6269512:-	tt6269514:-	tt6269516:-	tt6269520:-	tt6269524:-	tt6269526:-	
10	tt9877858:-	
11	tt9877860:-	
