2	tt0886599:-	tt2089187:6.4	tt2089188:-	tt2089189:-	tt2089190:-	tt2089191:-	tt2089192:-	tt2089193:-	tt2089194:-	tt2089195:-	tt2089196:6.0	tt2089197:6.0	tt2089198:-	tt2089212:-	
4	tt1321277:8.6	tt1324552:6.4	tt1328991:6.2	tt1335311:6.8	tt1335312:6.8	tt1338829:-	tt1341976:6.4	tt1346781:-	tt1352536:8.8	tt1358330:8.8	tt1367699:-	tt1367700:6.8	tt1379906:-	
1	tt1525051:5.8	tt1525052:5.8	tt1525732:5.9	tt2089177:5.8	tt2089178:5.6	tt2089179:5.8	tt2089180:5.6	tt2089181:6.0	tt2089182:6.0	tt2089183:5.8	tt2089184:6.5	tt2089185:6.0	tt2089186:6.0	
5	tt1538686:6.1	tt1543394:6.6	tt1547773:6.8	tt1553990:-	tt1560324:-	tt1566105:6.7	tt1566106:6.2	tt1600590:-	tt1600591:-	tt1600592:5.6	tt1600593:6.0	tt1600594:-	tt1652615:-	
6	tt1845529:6.3	tt1856346:7.0	tt1857186:5.3	tt1863811:6.8	tt1867807:5.5	tt1897522:-	tt1897523:-	tt1897524:-	tt1897525:-	tt1915065:-	tt1927544:-	tt2085365:-	
3	tt2089199:-	tt2089200:-	tt2089201:-	tt2089202:-	tt2089203:-	tt2089204:-	tt2089205:-	tt2089206:-	tt2089207:-	tt2089208:-	tt2089209:-	tt2089210:-	tt2089211:-	
7	tt2153508:-	tt2153512:-	tt2153520:-	tt2153538:8.3	tt2186672:-	tt2186696:-	tt2186714:-	tt2186726:-	tt2186874:-	tt2371823:6.6	tt2371825:6.6	
