1	tt10118238:-	
2	tt10118268:-	
3	tt10120414:-	
4	tt10120436:-	
5	tt10120464:-	
6	tt10120478:-	
7	tt10120510:-	
8	tt10120542:-	
9	tt10120972:-	
10	tt10121008:-	
11	tt10121020:-	
12	tt10121032:-	
13	tt10121050:-	
14	tt10121066:-	
15	tt10121102:-	
16	tt10121118:-	
17	tt10121144:-	
18	tt10121158:-	
19	tt10121170:-	
20	tt10121282:-	
21	tt10121296:-	
22	tt10121318:-	
23	tt10121328:-	
24	tt10121336:-	
25	tt10121348:-	
26	tt10121356:-	
27	tt10121366:-	
28	tt10121382:-	
29	tt10121388:-	
30	tt10121410:-	
31	tt10121432:-	
