1	tt0613785:-	tt0613786:-	tt0613787:-	tt0613811:-	tt1011552:9.6	tt1011553:9.0	tt1274004:-	tt1741025:-	tt1752386:-	tt1781690:-	tt2536580:-	tt2536584:-	tt2536586:-	tt2536588:-	tt2536594:-	tt2536694:-	tt2536738:-	tt2536740:-	tt2536742:-	tt2536748:-	tt2536752:-	tt2536756:-	tt2536758:-	tt2536760:-	tt2536768:-	tt2536786:-	tt2536788:-	tt2536790:-	tt2536792:-	tt2544184:-	tt2544190:-	tt2544194:-	tt2544208:-	tt2544214:-	tt2544218:-	
2	tt0613788:-	tt0613789:-	tt0613790:-	tt0613791:-	tt0613792:-	tt0613793:-	tt1378082:-	tt1378083:-	tt1378084:-	tt1379889:-	tt1607985:-	tt1723214:-	tt1752387:-	tt1786265:-	tt2243014:-	tt2554138:-	tt2554140:-	tt2554142:-	tt2554144:-	tt2554148:-	tt2554150:-	tt2554152:-	tt2554158:-	tt2554162:-	tt2554164:-	tt2554166:-	tt2554168:-	tt2554172:-	tt2554178:-	tt2554186:9.3	tt2554190:-	tt2562164:-	tt2562168:-	tt2562172:-	
3	tt0613794:-	tt0856642:-	tt0862218:-	tt1266899:-	tt1277055:-	tt1277056:-	tt1322050:-	tt1332831:-	tt1332832:-	tt1332833:-	tt1378085:10.0	tt1637502:-	tt1637503:-	tt1637504:-	tt1637505:-	tt1637506:-	tt1706251:-	tt2556150:-	tt2556152:-	tt2556156:-	tt2556158:-	tt2556160:-	tt2556162:-	tt2556164:-	tt2565510:-	tt2565518:-	tt2565522:-	tt2565560:-	tt2565568:-	tt2565572:-	tt2565574:-	tt2565584:-	tt2565598:-	tt3673624:-	
\N	tt1378081:-	
