6	tt10910264:-	tt11073502:-	tt9315110:6.0	tt9319916:-	tt9795040:-	
\N	tt11368398:-	
1	tt2291700:7.9	tt2469438:6.6	
2	tt3296266:8.2	tt3296582:8.0	tt3444640:8.2	
3	tt3445264:7.4	tt3449614:6.7	tt4244740:6.6	
4	tt5074824:6.2	tt5168342:-	tt5335450:-	
5	tt7352716:6.8	tt7718584:5.8	
