1	tt11447718:-	
2	tt11447742:-	tt11447770:-	tt11447840:-	tt11447844:-	tt11447858:-	tt11447874:-	
3	tt11448140:-	tt11448156:-	tt11448166:-	
4	tt11448172:-	tt11448184:-	
5	tt11448210:-	tt11448220:-	tt11448228:-	tt11448244:-	
6	tt11448258:-	tt11448268:-	tt11448288:-	tt11448292:-	
7	tt11448332:-	tt11448364:-	tt11448372:-	tt11448378:-	
8	tt11448454:-	tt11448456:-	tt11448464:-	tt11448466:-	
9	tt11448474:-	tt11448478:-	tt11448480:-	tt11448486:-	
10	tt11448498:-	tt11448502:-	tt11448510:-	tt11448518:-	
11	tt11448520:-	tt11448526:-	tt11452500:-	tt11452508:-	
12	tt11452540:-	tt11452548:-	tt11452558:-	
13	tt11452578:-	tt11452956:-	tt11453012:-	tt11453038:-	
14	tt12008876:-	tt12450452:-	tt13057136:-	tt13544894:-	
15	tt14187918:-	tt14755896:-	
