5	tt0597468:7.3	tt0597470:7.2	tt0597473:8.0	tt0597477:7.8	tt0597481:7.6	tt0597485:8.0	tt0597489:7.5	tt0597499:7.7	tt0597500:7.1	tt0597502:7.5	tt0597506:8.3	tt0597507:7.1	tt0597529:7.6	tt0597534:7.1	tt0597537:7.7	tt0597541:7.6	tt0597547:7.7	tt0597554:7.7	tt0597556:7.1	tt0597559:7.4	tt0597572:7.2	tt0597586:7.7	tt0597594:7.4	tt0597597:7.6	tt0597606:6.8	tt0597609:8.6	tt0597614:6.9	tt0597615:7.3	tt0597616:7.5	tt0597617:7.5	tt0597631:8.2	tt0597636:7.7	tt0597640:7.3	tt0597651:7.7	tt0597655:7.7	tt0597672:8.1	tt0597677:7.3	tt0597679:8.4	
4	tt0597469:8.3	tt0597483:7.7	tt0597491:8.3	tt0597492:8.1	tt0597501:7.5	tt0597509:7.0	tt0597510:8.3	tt0597513:7.4	tt0597515:7.8	tt0597518:7.7	tt0597543:8.2	tt0597544:7.3	tt0597545:8.1	tt0597557:7.2	tt0597562:8.5	tt0597563:8.4	tt0597567:8.2	tt0597568:7.6	tt0597574:7.6	tt0597588:7.6	tt0597592:7.2	tt0597598:7.9	tt0597599:8.1	tt0597604:7.8	tt0597621:8.1	tt0597624:8.0	tt0597632:7.7	tt0597642:7.5	tt0597645:8.2	tt0597646:7.9	tt0597650:7.9	tt0597656:7.6	tt0597658:7.8	tt0597662:8.3	tt0597663:7.8	tt0597669:7.2	tt0597671:7.7	tt0597676:7.3	
1	tt0597471:8.3	tt0597486:8.0	tt0597487:7.7	tt0597505:8.1	tt0597511:7.3	tt0597522:7.9	tt0597524:8.2	tt0597525:8.0	tt0597527:8.5	tt0597528:8.4	tt0597538:8.6	tt0597553:8.0	tt0597571:7.9	tt0597573:7.8	tt0597577:7.9	tt0597584:8.2	tt0597585:8.1	tt0597591:8.0	tt0597595:7.8	tt0597602:8.2	tt0597607:8.3	tt0597608:8.0	tt0597613:8.0	tt0597622:7.6	tt0597626:8.3	tt0597638:7.9	tt0597639:8.8	tt0597647:7.8	tt0597652:8.1	tt0597653:8.3	tt0597664:8.0	tt0597665:8.0	tt0597667:7.4	tt0597670:8.6	tt0597681:8.1	tt0597682:7.6	tt0597683:8.2	tt0597687:8.1	tt0597692:8.0	
6	tt0597472:7.4	tt0597479:7.8	tt0597482:8.1	tt0597484:8.2	tt0597490:7.7	tt0597493:8.0	tt0597494:7.8	tt0597495:7.0	tt0597504:7.9	tt0597514:7.7	tt0597521:8.6	tt0597548:7.7	tt0597549:8.0	tt0597550:8.0	tt0597560:7.2	tt0597561:8.2	tt0597569:7.6	tt0597578:7.9	tt0597579:7.6	tt0597581:7.3	tt0597582:6.6	tt0597587:7.7	tt0597596:7.6	tt0597600:8.4	tt0597619:6.9	tt0597644:8.4	tt0597659:7.9	tt0597673:8.2	tt0597680:6.9	tt0597686:8.1	tt0597688:7.2	tt0597690:7.2	
2	tt0597474:7.8	tt0597475:7.7	tt0597476:7.7	tt0597498:7.7	tt0597503:7.7	tt0597508:7.7	tt0597523:7.5	tt0597526:7.5	tt0597530:7.8	tt0597531:7.9	tt0597532:8.4	tt0597533:7.5	tt0597536:7.7	tt0597539:8.7	tt0597546:8.3	tt0597565:7.8	tt0597575:7.4	tt0597576:7.5	tt0597580:7.4	tt0597590:8.1	tt0597601:7.9	tt0597610:8.6	tt0597612:7.5	tt0597618:7.7	tt0597625:7.7	tt0597628:7.9	tt0597629:8.0	tt0597630:8.5	tt0597634:7.9	tt0597635:7.5	tt0597649:8.6	tt0597654:7.5	tt0597657:8.4	tt0597660:7.6	tt0597666:8.1	tt0597668:7.8	tt0597678:8.1	tt0597685:7.9	tt0597693:7.9	
3	tt0597478:7.7	tt0597480:7.5	tt0597488:7.3	tt0597496:7.5	tt0597497:8.1	tt0597512:8.0	tt0597516:8.1	tt0597517:8.1	tt0597519:7.5	tt0597520:7.5	tt0597535:7.6	tt0597540:7.7	tt0597542:7.2	tt0597551:7.8	tt0597552:8.0	tt0597555:7.8	tt0597558:7.4	tt0597564:7.0	tt0597566:7.4	tt0597570:8.0	tt0597583:7.7	tt0597589:7.7	tt0597593:7.6	tt0597603:8.1	tt0597605:7.8	tt0597611:8.0	tt0597620:7.8	tt0597623:6.9	tt0597627:8.1	tt0597633:7.5	tt0597637:7.5	tt0597641:7.2	tt0597643:8.5	tt0597648:7.3	tt0597661:7.4	tt0597674:6.9	tt0597675:8.0	tt0597684:7.4	tt0597689:8.1	
