9	tt11711736:-	tt12270432:-	tt12270442:-	tt12270446:-	tt12270468:-	tt12270482:-	
1	tt12227214:-	tt12227222:-	tt12228658:-	
2	tt12228674:-	tt12230226:-	tt12230270:-	tt12230592:-	tt12230596:-	tt12230604:-	
3	tt12230642:-	tt12231850:-	tt12231862:-	tt12231906:-	tt12231948:-	tt12231972:-	
4	tt12232050:-	tt12233182:-	tt12233226:-	tt12233236:-	tt12233258:-	tt12233280:-	
5	tt12233312:-	tt12234544:-	tt12234550:-	tt12234564:-	tt12234582:-	tt12234586:-	
6	tt12234602:-	tt12234610:-	tt12234614:-	tt12234636:-	tt12234646:-	tt12234664:-	
7	tt12234676:-	tt12235800:-	tt12235830:-	tt12235840:-	tt12235886:-	tt12235952:-	
8	tt12239178:-	tt12269460:-	tt12269468:-	tt12269470:-	tt12269478:-	tt12269506:-	
10	tt13901392:-	tt13995962:-	tt13996006:-	tt13996022:-	tt14041738:-	tt14074468:-	
