12	tt10009092:7.4	tt10047776:7.5	tt10085362:7.9	tt10120324:7.1	tt10156284:7.2	tt10193372:7.5	tt10228900:7.8	tt10264940:7.4	tt10299052:7.1	tt10333350:7.3	tt10369824:7.8	tt10403158:7.5	tt10436336:7.3	tt10510834:8.1	tt9529544:7.6	tt9567416:7.0	tt9607348:7.1	tt9646174:7.0	tt9688030:7.1	tt9727940:7.8	tt9776150:6.8	tt9808462:7.4	tt9853012:7.2	tt9886780:7.1	
13	tt10470964:7.6	tt10549260:7.6	tt10579324:7.7	tt10613708:7.9	tt10650332:7.2	tt10686728:7.7	tt10725262:7.2	tt10761046:8.2	tt10800578:7.3	tt10836956:6.8	tt10885014:7.5	tt10920262:7.7	tt10941888:7.2	tt10975092:7.3	tt11011018:7.0	tt11052182:7.8	tt11093950:7.2	tt11134230:7.3	tt11161186:7.7	tt11198474:7.8	tt11237518:7.5	tt11273656:7.6	tt11311728:7.7	tt11348466:7.4	tt11386158:7.6	tt11421368:6.6	tt11461386:7.9	tt11492256:7.8	
\N	tt10573792:-	tt10625686:-	tt10771428:-	tt10934766:-	tt10934770:-	tt10934778:-	tt10934782:-	tt10934788:-	tt10934806:-	tt10934810:-	tt10980672:-	tt11977194:-	tt9275018:4.3	
14	tt11569282:8.0	tt11608324:7.5	tt11609650:7.4	tt11685684:7.6	tt11724202:7.5	tt11737630:7.6	tt11770848:7.4	tt11813630:7.5	tt11857672:7.4	tt11902834:8.0	tt11945226:7.4	tt11952694:7.2	tt11984636:7.8	tt12003562:7.0	tt12037978:7.3	tt12037980:7.4	tt12037982:8.0	tt12037984:7.9	tt12038116:7.2	tt12038118:6.9	tt12038120:7.0	tt12038122:7.7	tt12038124:7.5	tt12038126:7.0	tt12038128:7.2	tt12404298:6.7	
15	tt12411304:6.8	tt12411306:7.0	tt12411312:7.4	tt12418170:6.9	tt12418174:6.9	tt12418176:6.5	tt12418180:7.4	tt12418182:7.0	tt12418184:7.1	tt12418188:7.1	tt12418190:7.5	tt12418194:7.3	tt12422852:6.4	tt12670544:6.5	tt12670546:5.8	tt12670550:7.8	tt12670552:7.1	tt12670554:7.1	tt12670560:7.1	tt12670566:7.2	tt12670568:6.6	tt12670572:6.2	tt12670576:6.3	tt12670580:7.2	tt12670582:7.0	tt12670584:6.9	
16	tt13732004:6.1	tt13783684:6.6	tt13826758:7.0	tt13873330:6.2	tt13920180:6.7	tt13968008:6.5	tt14017138:6.3	tt14061860:6.4	tt14107946:6.3	tt14152990:6.4	tt14200090:6.5	tt14249086:6.6	tt14294496:6.4	tt14348268:7.1	tt14395344:7.0	tt14409906:-	
1	tt2577730:6.8	tt2577742:7.7	tt2577752:7.1	tt2577760:7.3	tt2577768:7.2	tt2577770:7.5	tt2577778:7.3	tt2577784:7.5	tt2577798:7.1	tt2577816:6.9	tt2577824:7.2	tt2577828:7.7	tt2577836:7.3	tt2577846:7.3	tt2577852:7.4	tt2619934:7.2	tt2647096:7.1	tt2697744:7.7	tt2711654:7.3	tt2752702:7.7	tt2799996:7.5	tt2816366:7.6	tt2855132:7.9	tt2895654:7.5	tt2909982:7.4	tt2932892:7.5	
2	tt2960570:7.6	tt2975964:7.7	tt3010144:7.4	tt3054060:7.2	tt3076736:7.5	tt3092690:7.7	tt3105216:8.2	tt3148152:7.4	tt3195038:7.5	tt3268750:7.6	tt3268754:7.7	tt3268762:7.8	tt3268764:7.7	tt3349774:7.7	tt3349788:7.7	tt3349798:7.5	tt3519934:7.5	tt3614622:7.5	tt3614630:7.3	tt3614636:6.7	tt3614638:7.7	tt3614640:7.2	tt3614646:7.3	tt3614658:7.2	tt3614662:7.3	tt3896256:7.4	
3	tt3614670:7.6	tt3896250:8.4	tt3896258:7.8	tt3896260:7.6	tt3896264:7.6	tt3896266:7.6	tt3896268:7.5	tt3896270:7.3	tt3896274:7.7	tt3896276:8.0	tt3905234:7.6	tt3905238:7.6	tt3905242:7.4	tt3905246:7.5	tt3905248:7.5	tt3918508:7.2	tt3952644:7.5	tt3970862:7.8	tt3985906:7.3	tt4007594:6.9	tt4025708:7.1	tt4060620:7.3	tt4096530:7.7	tt4117744:7.7	tt4135422:7.6	tt4155466:7.2	tt4190954:6.7	
4	tt4209300:7.1	tt4227740:7.0	tt4248254:7.6	tt4266858:7.8	tt4286476:7.5	tt4303752:7.6	tt4331818:7.4	tt4354834:7.6	tt4375248:7.3	tt4396780:7.8	tt4421736:7.6	tt4441398:6.9	tt4459180:7.1	tt4497298:7.4	tt4515710:7.6	tt4532328:7.0	tt4549160:7.6	tt4568566:7.4	tt4587220:7.6	tt4644540:7.4	tt4661520:7.9	tt4679328:7.0	tt4695938:7.6	tt4711912:7.5	tt4729550:6.8	tt8488002:6.5	
5	tt4762018:7.2	tt4778892:7.2	tt4798248:7.5	tt4819628:6.6	tt4838682:7.5	tt4875144:7.2	tt4898896:7.2	tt4916108:7.3	tt4935778:7.1	tt4952942:7.3	tt4969926:7.7	tt4991108:7.2	tt5012038:8.1	tt5030954:7.6	tt5049328:7.7	tt5068498:7.8	tt5089698:7.7	tt5109030:7.7	tt5135454:7.7	tt5154968:6.8	tt5192142:7.1	tt5207926:7.4	tt5225444:7.4	tt5241050:7.1	tt5257390:7.4	tt8487864:6.4	
6	tt5272700:7.3	tt5302392:8.0	tt5317402:7.1	tt5336404:7.2	tt5354840:6.7	tt5373530:7.2	tt5430990:7.1	tt5452488:7.1	tt5472506:7.5	tt5494042:6.8	tt5532686:7.0	tt5554230:7.3	tt5574434:7.6	tt5574442:7.2	tt5591214:7.2	tt5610186:7.3	tt5630114:7.1	tt5648140:7.2	tt5667038:7.8	tt5687984:7.4	tt5709996:7.8	tt5730214:7.0	tt5750848:7.9	tt5789240:7.6	tt5808928:7.1	tt6079498:7.2	
7	tt5791880:6.6	tt5825022:7.3	tt5843128:7.4	tt5861296:6.9	tt5878164:6.9	tt5895320:8.0	tt5918312:7.4	tt5932900:7.5	tt5952262:7.0	tt5973206:7.0	tt5992966:6.5	tt6018236:6.9	tt6039714:7.0	tt6059852:7.3	tt6101842:7.1	tt6122118:7.0	tt6142878:7.3	tt6163190:7.1	tt6185350:7.1	tt6209642:7.6	tt6228850:7.3	tt6245938:7.1	tt6266382:6.8	tt6285562:6.9	tt6311660:7.5	tt6343590:7.6	
