\N	tt1535845:4.0	tt1535846:3.2	tt1535847:4.2	tt1535848:3.2	tt1535849:4.3	tt1535850:3.5	tt1544386:3.5	tt1548738:3.2	tt1553753:3.7	tt1587633:3.7	tt1587634:3.3	tt1599813:3.8	tt1617214:3.5	tt1743009:-	
2	tt1740626:-	tt1878717:-	tt2123719:-	tt2123720:-	tt2123721:-	tt2123722:-	tt2123723:-	tt2123730:-	tt2123731:-	tt2123732:-	tt2124157:-	tt2124159:-	
3	tt2034516:-	tt2034517:-	tt2034518:-	tt2034519:-	tt2123718:-	tt2123724:-	tt2123725:-	tt2123726:-	tt2123727:-	tt2123728:-	tt2123729:-	tt2124158:-	tt2129693:-	
1	tt2123705:-	tt2123706:-	tt2123707:-	tt2123708:-	tt2123709:-	tt2123710:-	tt2123711:-	tt2123712:-	tt2123713:-	tt2123714:-	tt2123715:-	tt2123716:-	tt2123717:-	
