\N	tt10692510:-	tt10692514:-	tt10692520:-	tt10692532:-	tt10692540:-	tt10692544:-	tt10692560:-	tt10692568:-	tt10692572:-	tt10692582:-	tt10692584:-	tt10692592:-	
2	tt10692630:-	tt10692636:-	tt10692646:-	tt10692656:-	tt10692664:-	tt10692682:-	tt10692688:-	tt10692700:-	tt8661326:-	tt8661328:-	tt8661330:-	tt8661332:-	
1	tt5021784:-	tt5021788:-	tt5021792:-	tt5021794:-	tt5021796:-	tt5021798:-	tt5021802:-	tt5021804:-	tt5021806:-	tt5021808:-	tt5021810:-	tt5021816:-	
