6	tt0555075:9.2	tt0555084:8.9	tt0555085:6.7	tt0555094:8.9	tt0555095:6.7	tt0555099:7.5	tt0555104:6.6	tt0555109:6.9	tt0555112:6.7	tt0555121:7.3	tt0555136:6.8	tt0555137:7.7	tt0555141:7.1	tt0555143:6.8	tt0555144:6.6	tt0555145:7.2	tt0555157:6.8	tt0555162:7.2	tt0555168:7.0	tt0555173:6.8	tt0555182:6.6	tt0555183:6.5	tt0555184:7.8	tt0555190:7.2	
2	tt0555076:8.5	tt0555079:7.9	tt0555086:7.4	tt0555089:8.0	tt0555096:7.8	tt0555103:7.5	tt0555119:7.9	tt0555126:7.7	tt0555128:7.5	tt0555150:8.1	tt0555154:7.3	tt0555155:8.0	tt0555156:7.8	tt0555163:8.0	tt0555171:7.7	tt0555175:8.1	tt0555179:7.8	tt0555180:7.7	tt0555185:7.9	tt0555189:7.5	tt0555194:8.4	tt0555198:7.3	
5	tt0555077:7.0	tt0555083:6.8	tt0555087:7.6	tt0555092:7.1	tt0555097:7.0	tt0555107:7.4	tt0555115:7.0	tt0555123:6.9	tt0555125:7.1	tt0555127:7.2	tt0555132:7.2	tt0555133:6.9	tt0555160:6.6	tt0555165:7.1	tt0555166:7.1	tt0555167:6.9	tt0555170:7.5	tt0555172:6.8	tt0555174:6.9	tt0555177:7.4	tt0555186:8.3	tt0555188:6.9	tt0555199:6.9	
4	tt0555078:7.0	tt0555081:8.1	tt0555082:7.1	tt0555100:7.8	tt0555101:8.1	tt0555108:7.4	tt0555113:7.4	tt0555116:7.7	tt0555120:7.5	tt0555122:7.4	tt0555131:6.8	tt0555138:7.6	tt0555139:7.2	tt0555146:7.4	tt0555153:7.7	tt0555159:7.3	tt0555161:7.4	tt0555181:8.0	tt0555191:7.4	tt0555192:7.6	tt0555193:7.9	tt0555197:8.1	tt0555202:8.0	
1	tt0555080:7.6	tt0555090:7.9	tt0555091:8.5	tt0555093:7.4	tt0555105:7.4	tt0555106:7.5	tt0555110:7.3	tt0555118:8.4	tt0555134:7.4	tt0555142:7.5	tt0555151:8.1	tt0555152:8.2	tt0555178:8.4	
3	tt0555088:7.3	tt0555098:7.9	tt0555102:8.0	tt0555111:7.8	tt0555114:7.6	tt0555117:7.9	tt0555124:7.6	tt0555129:7.4	tt0555130:7.5	tt0555135:7.4	tt0555140:7.7	tt0555147:8.0	tt0555148:7.2	tt0555149:7.4	tt0555158:7.4	tt0555164:7.5	tt0555169:8.6	tt0555176:8.4	tt0555187:8.9	tt0555195:8.1	tt0555196:8.7	tt0555200:7.6	tt0555201:8.2	
