1	tt11422640:-	tt11430104:-	tt11430172:-	tt11430272:-	tt11430396:-	tt11430524:-	tt11439806:-	tt11439812:-	tt11439822:-	tt11439834:-	tt11439854:-	
\N	tt11439794:-	
2	tt11439874:-	tt11439888:-	tt11439900:-	tt11439920:-	tt11439932:-	tt11439958:-	tt11439968:-	tt11439976:-	tt11439984:-	tt11439992:-	
3	tt11439994:-	tt11440004:-	tt11440016:-	tt11440042:-	tt11440112:-	tt11440128:-	tt11440136:-	tt11440154:-	tt11440166:-	tt11440168:-	
4	tt11440174:6.0	tt11440284:-	tt11440296:-	tt11479032:-	tt11508556:-	tt11548968:-	tt11591916:-	tt11630624:-	tt11670514:-	tt11710096:-	
5	tt14098620:5.9	tt14099148:-	tt14104734:-	tt14104778:-	tt14260404:-	tt14318852:-	tt14344000:-	tt14344254:-	tt14405530:-	tt14407196:-	
