\N	tt0618815:7.9	tt0998565:-	tt10220656:-	tt11821026:-	tt11821088:-	tt11821100:-	tt11821148:-	tt11852862:-	tt11852868:-	tt11852880:-	tt11852934:-	tt11852978:-	tt11899120:-	tt11899232:-	tt11899324:-	tt11899494:-	tt11899598:-	tt11966252:-	tt11969476:-	tt11983186:-	tt11990990:-	tt11999152:-	tt12015712:-	tt12025288:-	tt12033818:-	tt12055382:-	tt12062984:-	tt12219464:-	tt12222174:-	tt12226812:-	tt12229924:-	tt12233754:-	tt12370264:-	tt12379590:-	tt12386522:-	tt12393822:-	tt12397150:-	tt12399546:-	tt12408970:-	tt12409036:-	tt12409096:-	tt12409104:-	tt12435490:-	tt12435504:-	tt12435530:-	tt12435566:-	tt12435604:-	tt12466452:-	tt12466522:-	tt12466544:-	tt12466584:-	tt12492636:-	tt12533290:-	tt12549662:-	tt12549772:-	tt12549842:-	tt12612948:-	tt12619674:-	tt12625896:-	tt12636060:-	tt12638248:-	tt12821670:-	tt1290727:-	tt12931344:-	tt1587640:-	tt1707645:-	tt1936846:-	tt1936847:-	tt2087534:-	tt3469650:-	tt5620966:-	tt5669910:-	tt9276348:-	tt9277366:-	tt9810382:-	
1	tt13617406:-	tt13645404:-	tt13645412:-	tt13645414:-	tt13645418:-	tt13645420:-	tt13645422:-	tt13645424:-	tt13645432:-	tt13645434:-	tt13645436:-	tt13645438:-	tt13645440:-	tt13645442:-	tt13645444:-	tt13645446:-	tt13645448:-	tt13645450:-	tt13645454:-	tt13645456:-	tt13645646:-	tt13646346:-	tt13646348:-	tt13646350:-	tt13646354:-	tt13646356:-	tt13646360:-	tt13646362:-	tt13646364:-	tt13646370:-	tt13646372:-	tt13646376:-	tt13646378:-	tt13646380:-	tt13646382:-	tt13646386:-	tt13646388:-	tt13646390:-	tt13646394:-	tt13646396:-	tt13646400:-	tt13658132:-	tt13658142:-	tt13658144:-	tt13658146:-	tt13658150:-	tt13658152:-	tt13658154:-	tt13658156:-	tt13658160:-	tt13658162:-	tt13658166:-	tt13658170:-	tt13658172:-	tt13658174:-	tt13658176:-	tt13658178:-	tt13658180:-	tt13658182:-	tt13658184:-	tt13658188:-	tt13658190:-	tt13661768:-	tt13661770:-	tt13661774:-	tt13661776:-	tt13661778:-	tt13661780:-	tt13661782:-	tt13661784:-	tt13661786:-	tt13661788:-	tt13661792:-	tt13661794:-	tt13661796:-	tt13661798:-	tt13661800:-	tt13661802:-	tt13661806:-	tt13661808:-	tt13661810:-	tt13669556:-	tt13669560:-	tt13669562:-	tt13669568:-	tt13669570:-	tt13669572:-	tt13669574:-	tt13669576:-	tt13669578:-	tt13669580:-	tt13669582:-	tt13669584:-	tt13669586:-	tt13669588:-	tt13669590:-	tt13669594:-	tt13669598:-	tt13669600:-	tt13669602:-	tt13669608:-	tt13673774:-	tt13673776:-	tt13673778:-	tt13673780:-	tt13673782:-	tt13673784:-	tt13673788:-	tt13673794:-	tt13673796:-	tt13673798:-	tt13673800:-	tt13673802:-	tt13673804:-	tt13673806:-	tt13673808:-	tt13673810:-	tt13673814:-	tt13673816:-	tt13673818:-	tt13673822:-	
2	tt13645458:-	tt13645460:-	tt13645462:-	tt13645464:-	tt13645466:-	tt13645470:-	tt13645472:-	tt13645474:-	tt13645476:-	tt13645478:-	tt13645482:-	tt13645484:-	tt13645486:-	tt13645488:-	tt13645492:-	tt13645494:-	tt13645498:-	tt13645500:-	tt13645502:-	tt13645504:-	tt13645650:-	tt13645842:-	tt13646298:-	tt13646300:-	tt13646302:-	tt13646304:-	tt13646306:-	tt13646308:-	tt13646310:-	tt13646312:-	tt13646314:-	tt13646318:-	tt13646320:-	tt13646322:-	tt13646324:-	tt13646326:-	tt13646328:-	tt13646332:-	tt13646336:-	tt13646338:-	tt13646340:-	tt13646344:-	tt13658198:-	tt13658200:-	tt13658202:-	tt13658204:-	tt13658206:-	tt13658208:-	tt13658210:-	tt13658212:-	tt13658214:-	tt13658216:-	tt13658220:-	tt13658224:-	tt13658226:-	tt13658228:-	tt13658230:-	tt13658232:-	tt13658236:-	tt13658238:-	tt13658242:-	tt13658246:-	tt13661706:-	tt13661708:-	tt13661710:-	tt13661714:-	tt13661720:-	tt13661722:-	tt13661732:-	tt13661736:-	tt13661738:-	tt13661740:-	tt13661744:-	tt13661748:-	tt13661752:-	tt13661754:-	tt13661756:-	tt13661758:-	tt13661760:-	tt13661762:-	tt13661764:-	tt13661766:-	tt13669624:-	tt13669628:-	tt13669634:-	tt13669636:-	tt13669638:-	tt13669642:-	tt13669644:-	tt13669648:-	tt13669650:-	tt13669652:-	tt13669654:-	tt13669656:-	tt13669660:-	tt13669662:-	tt13669664:-	tt13669666:-	tt13669670:-	tt13669672:-	tt13669674:-	tt13673720:-	tt13673722:-	tt13673728:-	tt13673730:-	tt13673732:-	tt13673736:-	tt13673738:-	tt13673742:-	tt13673744:-	tt13673746:-	tt13673748:-	tt13673750:-	tt13673752:-	tt13673756:-	tt13673758:-	tt13673762:-	tt13673764:-	tt13673766:-	tt13673768:-	tt13673772:-	
3	tt13645506:-	tt13645508:-	tt13645510:-	tt13645512:-	tt13645514:-	tt13645518:-	tt13645520:-	tt13645522:-	tt13645524:-	tt13645526:-	tt13645528:-	tt13645530:-	tt13645532:-	tt13645534:-	tt13645536:-	tt13645538:-	tt13645540:-	tt13645542:-	tt13645544:-	tt13645546:-	tt13645550:-	tt13645552:-	tt13645554:-	tt13645556:-	tt13645560:-	tt13645562:-	tt13645564:-	tt13645566:-	tt13645568:-	tt13645570:-	tt13645572:-	tt13645574:-	tt13645576:-	tt13645578:-	tt13645580:-	tt13645584:-	tt13645586:-	tt13645588:-	tt13645590:-	tt13645592:-	tt13645652:-	tt13645844:-	tt13646246:-	tt13646248:-	tt13646250:-	tt13646252:-	tt13646256:-	tt13646258:-	tt13646260:-	tt13646264:-	tt13646268:-	tt13646270:-	tt13646272:-	tt13646274:-	tt13646278:-	tt13646280:-	tt13646282:-	tt13646284:-	tt13646286:-	tt13646290:-	tt13646292:-	tt13646294:-	tt13658250:-	tt13658252:-	tt13658256:-	tt13658260:-	tt13658262:-	tt13658268:-	tt13658272:-	tt13658274:-	tt13658276:-	tt13658278:-	tt13658280:-	tt13658282:-	tt13658284:-	tt13658290:-	tt13658292:-	tt13658294:-	tt13658296:-	tt13658300:-	tt13658302:-	tt13658304:-	tt13661656:-	tt13661658:-	tt13661660:-	tt13661664:-	tt13661666:-	tt13661668:-	tt13661670:-	tt13661672:-	tt13661674:-	tt13661676:-	tt13661680:-	tt13661682:-	tt13661686:-	tt13661688:-	tt13661694:-	tt13661698:-	tt13661700:-	tt13661702:-	tt13661704:-	tt13669678:-	tt13669682:-	tt13669684:-	tt13669686:-	tt13669688:-	tt13669690:-	tt13669692:-	tt13669694:-	tt13669696:-	tt13669698:-	tt13669702:-	tt13669704:-	tt13669708:-	tt13669710:-	tt13669712:-	tt13669716:-	tt13669718:-	tt13669722:-	tt13669726:-	tt13669728:-	tt13673670:-	tt13673672:-	tt13673674:-	tt13673676:-	tt13673678:-	tt13673680:-	tt13673682:-	tt13673684:-	tt13673686:-	tt13673688:-	tt13673694:-	tt13673696:-	tt13673698:-	tt13673700:-	tt13673704:-	tt13673706:-	tt13673710:-	tt13673712:-	tt13673714:-	tt13673716:-	
4	tt13645598:-	tt13645600:-	tt13645602:-	tt13645604:-	tt13645606:-	tt13645610:-	tt13645612:-	tt13645616:-	tt13645618:-	tt13645622:-	tt13645624:-	tt13645626:-	tt13645628:-	tt13645630:-	tt13645632:-	tt13645634:-	tt13645636:-	tt13645638:-	tt13645640:-	tt13645642:-	tt13645654:-	tt13645846:-	tt13646204:-	tt13646206:-	tt13646208:-	tt13646210:-	tt13646212:-	tt13646214:-	tt13646216:-	tt13646218:-	tt13646220:-	tt13646222:-	tt13646224:-	tt13646226:-	tt13646228:-	tt13646230:-	tt13646232:-	tt13646234:-	tt13646238:-	tt13646240:-	tt13646242:-	tt13646244:-	tt13658310:-	tt13658312:-	tt13658314:-	tt13658318:-	tt13658320:-	tt13658322:-	tt13658324:-	tt13658326:-	tt13658328:-	tt13658330:-	tt13658332:-	tt13658336:-	tt13658338:-	tt13658340:-	tt13658344:-	tt13658346:-	tt13658348:-	tt13658350:-	tt13658352:-	tt13658354:-	tt13661592:-	tt13661596:-	tt13661598:-	tt13661602:-	tt13661610:-	tt13661620:-	tt13661622:-	tt13661624:-	tt13661626:-	tt13661628:-	tt13661630:-	tt13661632:-	tt13661634:-	tt13661636:-	tt13661638:-	tt13661640:-	tt13661642:-	tt13661644:-	tt13661650:-	tt13661654:-	tt13669732:-	tt13669734:-	tt13669736:-	tt13669738:-	tt13669740:-	tt13669742:-	tt13669744:-	tt13669746:-	tt13669752:-	tt13669756:-	tt13669758:-	tt13669760:-	tt13669762:-	tt13669764:-	tt13669766:-	tt13669768:-	tt13669770:-	tt13669774:-	tt13669776:-	tt13673622:-	tt13673626:-	tt13673628:-	tt13673630:-	tt13673632:-	tt13673634:-	tt13673636:-	tt13673638:-	tt13673642:-	tt13673644:-	tt13673646:-	tt13673648:-	tt13673650:-	tt13673654:-	tt13673656:-	tt13673658:-	tt13673662:-	tt13673664:-	tt13673666:-	tt13673668:-	
