10	tt12834124:-	tt12871096:-	tt12871386:-	tt12875690:-	tt12917542:-	tt12975848:-	tt12977650:-	tt12977884:-	tt12978078:-	tt13013154:-	tt13013216:-	tt13013302:-	tt13013418:-	tt13023236:-	tt13023288:-	tt13023398:-	
3	tt13636088:-	tt13636090:-	tt13636092:-	tt13636096:-	tt13636114:-	tt13636116:-	tt13636118:-	tt13636120:-	tt13636122:-	tt13636124:-	tt13636126:-	tt13636460:-	tt13636462:-	tt13636464:-	tt13636466:-	tt13636468:-	tt13636470:-	tt13636472:-	tt13636474:-	tt13636476:-	tt13636572:-	tt13636574:-	tt13636576:-	tt13636578:-	tt13636580:-	tt13636584:-	tt13636586:-	tt13636588:-	tt13636990:-	tt13637542:-	tt2336314:-	tt2336786:-	tt2723094:-	tt2723700:-	tt2967736:-	tt2967742:-	tt2967748:-	tt5318238:-	tt5320538:-	tt9630206:-	
4	tt13643774:-	tt13643974:-	tt13643986:-	tt13643998:-	tt4102598:-	tt4221350:-	tt4221354:-	tt4221358:-	tt4221360:-	tt4221364:-	tt4221368:-	tt4221370:-	tt4302618:-	tt4303720:-	tt4430862:-	tt4653028:-	tt9442958:-	tt9601580:-	tt9601600:-	tt9601602:-	tt9601608:-	tt9601614:-	tt9601618:-	tt9601630:-	tt9601644:-	tt9601648:-	tt9601656:-	tt9601658:-	tt9601660:-	tt9601662:-	tt9601682:-	
1	tt1945559:-	tt2677914:-	tt2704436:-	tt2706368:-	tt2706376:-	tt2706388:-	tt2706418:-	tt2706434:-	tt2706436:-	tt2706450:-	tt2706472:-	tt2706500:-	tt2706524:-	tt2706548:-	tt2706568:-	tt2706852:-	tt2706864:-	tt2706878:-	tt2707082:-	tt2707086:-	tt2707116:-	tt2707146:-	tt2707160:-	tt2707162:-	tt2707164:-	tt2707172:-	tt2707206:-	tt2707222:-	tt2707240:-	tt3862700:-	
2	tt2335446:-	tt2335486:-	tt2336348:-	tt2721468:-	tt2723030:-	tt2723122:-	tt2723264:-	tt2723704:-	tt2816844:-	tt2816958:-	tt2817184:-	tt2817198:-	tt2817328:-	tt2819334:-	tt2819360:-	tt2819416:-	tt2821394:-	tt2821440:-	tt3924350:-	tt3924352:-	tt3924356:-	tt3924360:-	tt3924362:-	tt3924364:-	tt3924370:-	tt3924372:-	tt3924374:-	tt3924378:-	tt3924380:-	tt3924386:-	
5	tt5641476:-	tt5659916:-	tt5659922:-	tt5793706:-	tt5793814:-	tt5824378:-	tt9245572:-	tt9409796:-	tt9409804:-	tt9601688:-	tt9601694:-	tt9601696:-	tt9601700:-	tt9601704:-	tt9601706:-	tt9601712:-	tt9601714:-	tt9601716:-	tt9601718:-	tt9601720:-	tt9601724:-	tt9601726:-	tt9601730:-	tt9601734:-	tt9601742:-	tt9601744:-	
6	tt5738738:-	tt5787376:-	tt5793626:-	tt5793708:-	tt5793732:-	tt5793736:-	tt5793744:-	tt5793746:-	tt5793754:-	tt5793756:-	tt5793766:-	tt5793768:-	tt5793772:-	tt5793776:-	tt5793778:-	tt5793780:-	tt5793782:-	tt5793786:-	tt5793790:-	tt5793798:-	tt5793800:-	tt5793802:-	tt5793804:-	tt5793810:-	tt5793812:-	
7	tt7610956:-	tt7610998:-	tt7611006:-	tt7611010:-	tt7611024:-	tt7611028:-	tt7611040:-	tt7611054:-	tt7611056:-	tt7611068:-	tt7611070:-	tt7611076:-	tt7611082:-	tt7611088:-	tt7611098:-	tt7611100:-	tt7611104:-	tt7611108:-	tt7611120:-	tt7611122:-	tt7611134:-	tt7611138:-	tt7611320:-	tt7611348:-	tt7611366:-	
9	tt9378792:-	tt9409830:-	tt9531302:-	tt9543902:-	
8	tt9409806:-	tt9409816:-	tt9409824:-	tt9417372:-	tt9417384:-	tt9417390:-	tt9417394:-	tt9601774:-	tt9601776:-	tt9601778:-	tt9601780:-	tt9601782:-	tt9601786:-	tt9601790:-	tt9601794:-	tt9601804:-	tt9601810:-	tt9601816:-	tt9601818:-	tt9601824:-	tt9601830:-	tt9601840:-	tt9601846:-	tt9601850:-	tt9601858:-	
