1	tt14738476:-	tt14738574:-	tt14738638:-	tt14738640:-	tt14738642:-	tt14738646:-	tt14738650:-	tt14738654:-	tt14738660:-	tt14738672:-	
2	tt14738912:-	tt14738914:-	tt14738916:-	tt14738918:-	tt14738920:-	tt14738922:-	tt14738926:-	tt14738928:-	tt14738930:-	tt14738936:-	
3	tt14738980:-	tt14738988:-	tt14738990:-	tt14738992:-	tt14738996:-	tt14738998:-	tt14739000:-	tt14739004:-	tt14739006:-	tt14739010:-	
4	tt14739478:-	tt14739484:-	tt14739486:-	tt14739492:-	tt14739494:-	tt14739498:-	tt14739500:-	tt14739512:-	tt14739516:-	tt14739518:-	
5	tt14739524:-	tt14739526:-	tt14739528:-	tt14739532:-	tt14739538:-	tt14739540:-	tt14739544:-	tt14739546:-	tt14739548:-	tt14739550:-	
6	tt14739562:-	tt14739564:-	tt14739566:-	tt14739568:-	tt14739570:-	tt14739572:-	tt14739574:-	tt14739576:-	tt14739578:-	tt14739580:-	
7	tt14739582:-	tt14739584:-	tt14739586:-	tt14739588:-	tt14739592:-	tt14739596:-	tt14739598:-	tt14739600:-	tt14739604:-	tt14739606:-	
8	tt14739614:-	tt14739616:-	tt14739618:-	tt14739620:-	tt14739622:-	tt14739628:-	tt14739632:-	tt14739634:-	tt14739636:-	tt14739638:-	
9	tt14739642:-	tt14739644:-	tt14739646:-	tt14739648:-	tt14739650:-	tt14739654:-	tt14739656:-	tt14739658:-	tt14739660:-	tt14739666:-	
10	tt14739662:-	tt14739664:-	
