14	tt10642508:-	tt10648728:-	tt10648732:-	tt10660806:-	tt10660808:-	tt10660812:-	tt10660814:-	tt10660818:-	tt10660820:-	tt10660822:-	tt10660826:-	tt10660828:-	tt10660830:-	tt10660836:-	tt10660838:-	tt10660842:-	tt10660844:-	tt10660846:-	tt10660850:-	tt10660852:-	tt10660854:-	tt10660858:-	tt10660862:-	tt10660864:-	tt10660866:-	tt10660868:-	tt10660872:-	tt10660874:-	tt10660876:-	tt10660878:-	tt10868138:-	tt10873180:-	tt10873184:-	tt10873186:-	tt10873188:-	
15	tt11491264:-	tt11491292:-	tt11491294:-	tt11491296:-	tt11491300:-	tt11491390:-	tt11491392:-	tt11491394:-	tt11491396:-	tt11491400:-	tt11491402:-	tt11491404:-	tt11491406:-	tt11491408:-	tt11491412:-	tt11491418:-	tt11491420:-	tt11491422:-	tt11491426:-	tt11491430:-	tt11491432:-	tt11491434:-	tt11491436:-	tt11491438:-	tt11491444:-	tt11491446:-	tt11491448:-	tt11491450:-	tt11491452:-	tt11540094:-	
16	tt12704890:-	tt12704892:-	tt12704894:-	tt12704896:-	tt12704898:-	tt12704902:-	tt12704906:-	tt12704908:-	tt12704910:-	tt12704914:-	tt12704916:-	tt12704918:-	tt12704922:-	tt12704924:-	tt12704926:-	tt12704930:-	tt12704932:-	tt12704934:-	tt12704936:-	tt12704938:-	tt12704940:-	tt12704942:-	tt12704944:-	tt12704946:-	tt12704948:-	tt12704950:-	tt12704952:-	tt12704958:-	tt12704960:-	tt12704968:-	tt12942046:-	tt12942050:-	tt12942060:-	tt12942062:-	tt12942064:-	
17	tt13645060:-	tt13645062:-	tt13645064:-	tt13645066:-	tt13645072:-	tt13645076:-	tt13645078:-	tt13645080:-	tt13645082:-	tt13645084:-	tt13645088:-	tt13645090:-	tt13645092:-	tt13645096:-	tt13645098:-	tt13779176:-	tt13782670:-	tt13782674:-	tt13782678:-	tt13782680:-	tt13782684:-	tt13782690:-	tt13782692:-	tt13782694:-	tt13782696:-	tt13782706:-	tt13782708:-	tt13782712:-	tt13782714:-	tt13782716:-	
1	tt2300884:-	tt2317666:-	tt2317688:-	tt2317710:-	tt2317724:-	tt2330542:-	tt2330584:-	tt2330618:-	tt2331360:-	tt2331388:-	tt2331532:-	tt2331678:-	tt2331682:-	tt2332396:-	tt2332404:-	tt2341918:-	tt2341948:-	tt2341976:-	tt2342000:-	tt2342068:-	tt2348920:-	tt2353820:-	tt2359972:-	tt2360000:-	tt2360026:-	tt2368150:-	tt2368188:-	tt2368216:-	tt2383020:-	tt2383036:-	
2	tt3088552:-	tt3088622:-	tt3089964:-	tt3089968:-	tt3089982:-	tt3095068:-	tt3099988:-	tt3099992:-	tt3100082:-	tt3101128:-	tt3106360:-	tt3106410:-	tt3108680:-	tt3108748:-	tt3111918:-	tt3115644:-	tt3128262:-	tt3128400:-	tt3130038:-	tt3130110:-	tt3132424:-	tt3144114:-	tt3144116:-	tt3144396:-	tt3144682:-	tt3146280:-	tt3148368:-	tt3150336:-	tt3154144:-	tt3156040:-	
3	tt3432476:-	tt3432506:-	tt3825964:-	tt3825986:-	tt3825990:-	tt3826154:-	tt3826468:-	tt3827116:-	tt3827140:-	tt3827148:-	tt3827194:-	tt3827296:-	tt3827324:-	tt3827358:-	tt3831474:-	tt3831476:-	tt3831504:-	tt3831516:-	tt3831530:-	tt3836692:-	tt3836714:-	tt3836794:-	tt3838070:-	tt3844534:-	tt3844596:-	tt3868268:-	tt3868286:-	tt3868304:-	tt3868320:-	tt3868382:-	
4	tt3877940:-	tt3877946:-	tt3878004:-	tt3882674:-	tt3882716:-	tt3901144:-	tt3901150:-	tt3947760:-	tt3947770:-	tt3947814:-	tt3947866:-	tt3947876:-	tt3947942:-	tt3947956:-	tt3948016:-	tt3948036:-	tt3949796:-	tt3949804:-	tt3949834:-	tt3949842:-	tt3965780:-	tt3965806:-	tt3965826:-	tt3965834:-	tt3965842:-	tt3970804:-	tt3985862:-	tt3985902:-	tt3985946:-	tt4018268:-	tt4039814:-	tt4039818:-	tt4039828:-	tt4039848:-	tt4039870:-	
5	tt4285904:-	tt4286502:-	tt4286504:-	tt4286510:-	tt4286516:-	tt4296526:-	tt4304556:-	tt4304560:-	tt4304562:-	tt4304564:-	tt4316428:-	tt4326226:-	tt4326228:-	tt4326232:-	tt4326238:-	tt4331134:-	tt4334318:-	tt4336684:-	tt4354386:-	tt4354436:-	tt4354474:-	tt4356686:-	tt4360230:-	tt4362716:-	tt4368342:-	tt4373822:-	tt4378150:-	tt4381248:-	tt4383710:-	tt4383764:-	
6	tt4874386:-	tt4881000:-	tt4881026:-	tt4881028:-	tt4881030:-	tt4881036:-	tt4881040:-	tt4881044:-	tt4881046:-	tt4881050:-	tt4881052:-	tt4881060:-	tt4881064:-	tt4881068:-	tt4881074:-	tt4881078:-	tt4881082:-	tt4881084:-	tt4881086:-	tt4881090:-	tt4881092:-	tt4881096:-	tt4881098:-	tt4881102:-	tt4881104:-	tt4881108:-	tt4881114:-	tt4881116:-	tt4881118:-	tt4881120:-	
7	tt5272832:-	tt5275784:-	tt5275902:-	tt5275908:-	tt5275930:-	tt5275936:-	tt5287676:-	tt5287680:-	tt5287686:-	tt5287688:-	tt5287690:-	tt5287692:-	tt5287694:-	tt5287696:-	tt5287698:-	tt5287700:-	tt5287702:-	tt5287704:-	tt5287706:-	tt5287708:-	tt5287712:-	tt5287716:-	tt5287718:-	tt5287720:-	tt5287724:-	tt5287728:-	tt5287730:-	tt5287732:-	tt5287734:-	tt5287736:-	
