5	tt1025662:-	tt1025678:-	tt1025680:-	tt1025710:-	tt1025712:-	
6	tt1025663:-	tt1025664:-	tt1025670:-	tt1025677:-	tt1025698:-	tt1025706:-	tt1025714:-	
1	tt1025665:-	tt1025671:-	tt1025674:-	tt1025676:-	tt1025689:-	tt1025692:-	tt1025696:-	tt1025697:-	tt1025704:-	tt1025709:-	tt1025716:-	tt1025723:-	tt1980530:-	
2	tt1025666:-	tt1025667:-	tt1025673:-	tt1025687:-	tt1025688:-	tt1025694:-	tt1025695:-	tt1025700:-	tt1025705:-	
8	tt1025668:-	tt1025684:-	tt1025685:-	tt1025686:-	tt1025719:-	tt1025720:-	
9	tt1025669:-	tt1025672:-	tt1025691:-	tt1025699:-	tt1025702:-	
7	tt1025675:-	tt1025681:-	tt1025682:-	tt1025711:-	tt1025715:-	tt1025718:-	
4	tt1025679:-	tt1025707:-	tt1025708:-	tt1025717:-	tt1025722:-	tt1025724:-	
3	tt1025683:-	tt1025690:-	tt1025693:-	tt1025701:-	tt1025703:-	tt1025713:-	tt1025721:-	tt1025725:-	
