\N	tt14398380:-	tt8869668:-	
1	tt4637656:-	tt4637658:-	tt4637670:-	tt4637674:-	tt4637676:-	tt4637678:-	
2	tt4637680:-	tt4637684:-	tt4637688:-	tt4637690:-	tt4637698:-	tt4637700:-	tt4637702:-	tt4637708:-	tt4637712:-	tt4637714:-	tt4637716:-	tt4637720:-	tt4637724:-	tt4637728:-	tt4637732:-	tt4637734:-	tt4637740:-	tt4637744:-	tt4637748:-	tt4637752:-	tt4637754:-	tt4637756:-	tt4637760:-	tt4637770:-	tt8436210:-	
3	tt4637774:-	tt4637778:-	tt4637794:-	tt4637796:-	tt4637798:-	tt4637800:-	tt4637802:-	tt4637804:-	tt4637808:-	tt4637814:-	tt4637816:-	tt4637820:-	tt4637824:-	tt4637828:-	tt4637834:-	tt4637842:-	tt4637852:-	tt4637856:-	tt4637862:-	tt4637866:-	tt4637870:-	tt4637872:-	tt4637874:-	tt4637876:-	tt5152066:-	
4	tt4637880:-	tt4641258:-	tt4641262:-	tt4641266:-	tt4641270:-	tt4641282:-	tt4641288:-	tt4641292:-	tt4641296:-	tt4641298:-	tt4641304:-	tt4641308:-	tt4641310:-	tt4641312:-	tt4641316:-	tt4641322:-	tt4641324:-	tt4641326:-	tt4641330:-	tt4641332:-	tt4641338:-	tt4641340:-	tt4641342:-	tt4641344:-	tt4641346:-	tt4641352:-	
5	tt4641358:-	tt4641368:-	tt4647202:-	tt4647204:-	tt4647208:-	tt4647214:-	tt4647218:-	tt4647220:-	tt4647224:-	tt4647236:-	tt4647238:-	tt4647240:-	tt4647242:-	tt4647244:-	tt4647248:-	tt4647250:-	tt4647252:-	tt4647256:-	tt4647260:-	tt4647262:-	tt4647266:-	tt4647268:-	tt4647270:-	tt4647272:-	tt4647274:-	tt4647276:-	
6	tt4647280:-	tt4647282:-	tt4647286:-	tt4647290:-	tt4647294:-	tt4647300:-	tt4647308:-	tt4647310:-	tt4647316:-	tt4647320:-	tt4647322:-	tt4647880:-	tt4647888:-	tt4647892:-	tt4647898:-	tt4657098:-	tt4657104:-	tt4657116:-	tt4657136:-	tt4657208:-	tt4657214:-	tt4657220:-	tt4657230:-	tt4657234:-	tt4657242:-	tt4657246:-	
7	tt4657250:-	tt4657252:-	tt4657256:-	tt4657262:-	tt4657270:-	tt4657276:-	tt4657282:-	tt4657284:-	tt4657290:-	tt4657294:-	tt4657298:-	tt4657302:-	tt4657308:-	tt4657312:-	tt4727058:-	tt4727062:-	tt4727074:-	tt4727076:-	tt4727082:-	tt4727086:-	tt4727090:-	tt4727096:-	tt4729088:-	tt4729092:-	tt4729096:-	tt4729098:-	
8	tt4729110:-	tt4729112:-	tt4729136:-	tt4729158:-	tt4729176:-	tt4729180:-	tt4729196:-	tt4729198:-	tt4729208:-	tt4729216:-	tt4729228:-	tt4729236:-	tt4729240:-	tt4729244:-	tt4729252:-	tt4729266:-	tt4729276:-	tt4729284:-	tt4729292:-	tt4729296:-	tt4729300:-	tt4729302:-	tt4729308:-	tt4729314:-	tt4729326:-	tt4729334:-	tt4729336:-	
9	tt4729342:-	tt4729348:-	tt4729354:-	tt4729358:-	tt4729362:-	tt4729366:-	tt4729370:-	tt4729376:-	tt4729382:-	tt4729386:-	tt4729388:-	tt4729392:-	tt4729400:-	tt4729408:-	tt4729414:-	tt4729418:-	tt4729422:-	tt4729432:-	tt4729434:-	tt4729438:-	tt4729440:-	tt4729444:-	tt4733030:-	tt4733034:-	tt4733040:-	tt4733048:-	
10	tt4733054:-	tt4733058:-	tt4733060:-	tt4733068:-	tt4733072:-	tt4733082:-	tt4733088:-	tt4733096:-	tt4733104:-	tt4733112:-	tt4742168:-	tt4789678:-	tt4822986:-	tt4860654:-	tt4910390:-	tt4942972:-	tt4968906:-	tt5012330:-	tt5051178:-	tt5138612:-	tt5138624:-	tt5173792:-	tt5208290:-	tt5311464:-	tt5311470:-	tt5311476:-	
11	tt5336694:-	tt5452046:-	tt5452052:-	tt5530332:-	tt5577812:-	tt5687568:-	tt5687572:-	tt5687576:-	tt5687586:-	tt5734442:-	tt5769108:-	tt5807838:-	tt5907462:-	tt5907466:-	tt5914674:-	tt5951014:-	tt6010506:-	tt6041850:-	tt6120928:-	tt6386732:-	
12	tt6386736:-	tt6456592:-	tt6585996:-	
