4	tt0664215:7.8	tt0664217:7.7	tt0664224:8.0	tt0664229:7.9	tt0664237:8.0	tt0664244:7.3	tt0664248:8.2	tt0664253:7.8	tt0664256:7.8	tt0664269:7.8	tt0664275:7.7	tt0664282:7.6	tt0664285:8.5	tt0664291:7.9	tt0664293:8.2	tt0664295:8.2	tt0664298:8.2	tt0664300:8.3	tt0664304:7.7	tt0664309:7.7	tt0664315:7.4	tt0664323:7.6	
1	tt0664216:7.6	tt0664220:7.4	tt0664227:7.3	tt0664230:7.5	tt0664231:8.5	tt0664241:7.1	tt0664243:8.1	tt0664247:7.6	tt0664258:7.2	tt0664260:7.6	tt0664262:7.7	tt0664267:7.7	tt0664277:7.8	tt0664279:7.9	tt0664280:7.6	tt0664283:7.5	tt0664287:7.3	tt0664292:7.8	tt0664311:7.8	tt0664313:7.7	tt0664316:7.5	tt0664317:7.6	tt0664321:7.2	tt0792453:7.7	
2	tt0664218:7.9	tt0664219:7.7	tt0664221:8.0	tt0664222:7.9	tt0664225:7.2	tt0664228:8.1	tt0664235:7.6	tt0664236:8.3	tt0664239:7.2	tt0664240:7.9	tt0664249:7.6	tt0664252:7.6	tt0664259:7.4	tt0664264:7.7	tt0664266:7.7	tt0664268:7.8	tt0664271:7.5	tt0664273:7.9	tt0664297:7.9	tt0664318:7.4	tt0664319:7.5	tt0664320:8.1	tt0792452:8.8	
3	tt0664223:8.4	tt0664226:6.9	tt0664234:8.1	tt0664238:8.2	tt0664242:8.5	tt0664246:8.6	tt0664250:8.6	tt0664251:7.5	tt0664254:8.6	tt0664257:7.9	tt0664265:8.8	tt0664270:7.8	tt0664274:8.7	tt0664284:7.8	tt0664289:8.2	tt0664290:8.6	tt0664294:7.8	tt0664299:8.2	tt0664301:7.3	tt0664303:8.3	tt0664305:8.2	tt0792451:8.2	tt0792454:8.4	
5	tt0664232:7.9	tt0664233:8.4	tt0664245:7.6	tt0664255:7.6	tt0664261:7.2	tt0664263:7.4	tt0664272:7.2	tt0664276:8.0	tt0664278:7.3	tt0664281:6.9	tt0664286:7.5	tt0664288:7.6	tt0664296:7.6	tt0664302:7.6	tt0664306:8.3	tt0664307:7.5	tt0664308:8.3	tt0664310:8.7	tt0664312:7.8	tt0664314:7.5	tt0664322:7.6	tt0793216:8.2	
