1	tt0680517:6.2	tt0680518:6.0	tt0680519:6.4	tt0680520:6.1	tt0680521:6.1	tt0680522:6.3	tt0680523:6.6	tt0680524:6.8	
2	tt0680525:7.1	tt0680526:6.9	tt0680527:6.7	tt0680528:7.2	tt0680529:6.7	tt0680530:5.7	tt0680531:6.6	tt0680532:6.0	
3	tt0680533:6.8	tt0680534:7.5	tt0680535:7.1	tt0680536:7.1	tt0680537:6.6	tt0680538:7.3	tt0680539:7.0	tt0680540:6.5	
4	tt0680541:6.8	tt0680542:6.5	tt0680543:8.1	tt0680544:7.8	tt0680545:7.8	tt0680546:5.9	tt0680547:6.9	tt0680548:6.9	
5	tt0680549:6.7	tt0680550:7.2	tt0680551:7.3	tt0680552:6.9	tt0680553:7.3	tt0680554:7.1	tt0680555:7.4	tt0680556:7.7	
6	tt0680557:6.9	tt0680558:7.6	tt0680559:7.1	tt0680560:5.9	tt0680561:7.4	tt0680562:5.4	tt0680563:6.7	tt0680564:7.6	tt0879141:5.6	tt1109854:-	tt1109855:-	tt1109856:-	
7	tt0778427:5.9	tt0802068:6.3	tt0818185:6.3	tt0836432:7.8	tt0858240:6.5	tt0863966:6.5	tt0882557:6.8	tt0917798:7.0	
8	tt0994518:6.2	tt0994519:7.7	tt0994520:7.6	tt0994521:6.4	tt0994522:6.1	tt0994523:7.5	tt0994524:6.3	tt0994525:6.4	tt1495175:6.9	
\N	tt1766949:-	tt1768219:-	tt1768220:-	tt1768221:-	tt1768222:-	tt1768223:-	tt1768224:-	tt1768225:-	tt1768226:-	tt1768227:-	tt1768228:-	tt1771668:-	tt1771669:-	tt1771670:-	tt1771671:-	tt1771672:-	tt1903766:-	tt1903767:-	tt1903768:-	tt1903769:-	tt1903770:-	tt1903771:-	tt1903772:-	tt1903773:-	tt1903774:-	tt1903775:-	tt1903776:-	tt1903777:-	tt1903778:-	tt1903779:-	tt1903780:-	tt1903781:-	tt1905945:-	tt1909030:-	tt1909031:-	tt1920288:-	tt1922103:-	tt1926032:-	tt1928836:-	tt1928837:-	tt1928838:-	tt1928839:-	tt1933141:-	tt1933142:-	tt1933143:-	tt1942579:-	tt1945889:-	tt1953075:-	tt1953076:-	tt1960766:-	tt1963580:-	tt1966051:-	tt1967279:-	tt1981426:-	tt1981427:-	tt1981428:-	tt2062315:-	tt2070364:-	tt2380803:6.9	
9	tt2041096:6.8	tt2160146:8.3	tt2164523:6.9	tt2164525:7.8	tt2164527:7.3	tt2164529:7.6	tt2349205:7.4	tt2360633:7.8	tt2371931:7.5	tt2384457:8.2	tt2384459:6.7	tt2397233:7.3	
10	tt5015658:4.6	tt5015728:-	tt5015760:5.5	tt5022944:-	tt5030914:3.4	tt5067176:3.4	tt5069124:-	tt5096390:-	
