1	tt10577770:-	tt10582402:-	tt10582404:-	tt10582406:-	tt10582408:-	tt10582410:-	tt10582412:-	tt10582414:-	tt10582428:-	tt10582432:-	tt10582434:-	tt10582438:-	tt10586354:-	tt10586356:-	tt10586358:-	tt10586360:-	tt10586362:-	tt10586366:-	tt10586368:-	tt10586370:-	tt10586372:-	tt10586376:-	tt10586378:-	tt10586380:-	tt10586382:-	tt10586384:-	tt10586386:-	tt10586388:-	tt10586390:-	tt10586392:-	tt10586394:-	tt5886160:-	tt7973758:-	tt7973762:-	tt7973768:-	tt8077112:-	tt8077132:-	tt8077146:-	tt8077150:-	
2	tt10582444:-	tt10582446:-	tt10582448:-	tt10582450:-	tt10582452:-	tt10582454:-	tt10582458:-	tt10582460:-	tt10582462:-	tt10582464:-	tt10582466:-	tt10582468:-	tt10582472:-	tt10582474:-	tt10582480:-	tt10582482:-	tt10582486:-	tt10582488:-	tt10582490:-	tt10582492:-	tt10586322:-	tt10586324:-	tt10586326:-	tt10586332:-	tt10586334:-	tt10586336:-	tt10586340:-	tt10586342:-	tt10586344:-	tt10586346:-	tt10586348:-	tt10586350:-	tt10586352:-	
3	tt10586396:-	tt10591472:-	tt10591474:-	tt10591478:-	tt10591480:-	tt10591482:-	tt10591484:-	tt10591486:-	tt10591494:-	tt10591498:-	tt10591500:-	tt10591502:-	tt10591504:-	tt10591506:-	tt10591508:-	tt10591510:-	tt10591512:-	tt10591514:-	tt10591516:-	tt10591518:-	tt10593686:-	tt10593690:-	tt10593694:-	tt10593696:-	tt10593698:-	tt10593700:-	tt10593702:-	tt10593704:-	tt10593706:-	tt10593708:-	tt10593710:-	tt10593712:-	tt10593714:-	tt10593716:-	
4	tt10586398:-	tt10591520:-	tt10591524:-	tt10591526:-	tt10591528:-	tt10591530:-	tt10591532:-	tt10591534:-	tt10591536:-	tt10591538:-	tt10591540:-	tt10591544:-	tt10591546:-	tt10591548:-	tt10591552:-	tt10591554:-	tt10591556:-	tt10591558:-	tt10591560:-	tt10591562:-	tt10591564:-	tt10593656:-	tt10593658:-	tt10593660:-	tt10593664:-	tt10593666:-	tt10593668:-	tt10593670:-	tt10593672:-	tt10593674:-	tt10593676:-	tt10593680:-	tt10593682:-	tt10593684:-	
