1	tt0531067:7.4	tt0531071:7.2	tt0531076:7.2	tt0531083:7.3	tt0531086:6.7	tt0531087:7.2	tt0531089:7.8	tt0531101:7.1	tt0531105:6.9	tt0531108:7.1	tt0531112:6.8	tt0531124:7.3	tt0531136:7.3	tt0531137:7.3	tt0531143:7.1	tt0531153:7.2	tt0531154:7.6	tt0531157:7.1	tt0531158:7.5	tt0531163:7.3	tt0769847:7.1	tt0769848:7.0	tt0769853:7.3	tt0769856:7.3	tt0769857:7.2	
2	tt0531068:7.7	tt0531072:6.9	tt0531077:7.2	tt0531080:6.9	tt0531081:7.6	tt0531084:7.1	tt0531093:6.7	tt0531107:7.1	tt0531117:7.4	tt0531125:6.7	tt0531126:6.9	tt0531131:6.9	tt0531132:6.8	tt0531139:7.0	tt0531140:7.9	tt0531142:7.7	tt0531146:7.8	tt0531149:7.1	tt0531152:6.9	tt0531156:6.7	tt0531165:6.8	tt0531166:7.4	tt0531167:7.9	tt0769860:7.3	
4	tt0531069:7.6	tt0531073:7.9	tt0531075:7.1	tt0531082:7.4	tt0531088:6.7	tt0531094:7.7	tt0531096:7.3	tt0531097:7.8	tt0531098:8.2	tt0531100:7.0	tt0531106:7.0	tt0531109:7.3	tt0531119:7.8	tt0531145:7.1	tt0531148:8.3	tt0531151:7.8	tt0531159:7.7	tt0531168:6.8	tt0769850:6.8	tt0769851:8.1	tt0769852:7.1	tt0769858:7.2	tt0769861:5.5	
5	tt0531070:7.7	tt0531091:7.6	tt0531104:5.3	tt0531110:7.2	tt0531111:7.5	tt0531113:6.8	tt0531116:7.2	tt0531118:7.3	tt0531121:7.7	tt0531122:7.3	tt0531123:6.9	tt0531129:7.7	tt0531130:7.3	tt0531133:6.7	tt0531135:5.9	tt0531138:6.6	tt0531147:6.1	tt0531160:5.8	tt0531161:6.9	tt0531162:6.6	tt0531164:5.4	tt0769854:6.7	
3	tt0531074:6.8	tt0531078:6.7	tt0531079:7.6	tt0531085:7.4	tt0531090:8.1	tt0531092:7.6	tt0531095:7.4	tt0531099:8.2	tt0531102:7.4	tt0531103:7.6	tt0531114:7.7	tt0531115:7.5	tt0531120:7.7	tt0531127:7.1	tt0531128:7.2	tt0531134:7.3	tt0531141:7.9	tt0531144:7.1	tt0531150:7.1	tt0531155:7.4	tt0769849:7.2	tt0769855:6.5	tt0769859:7.2	
