1	tt2584538:8.0	tt2596788:7.9	tt2631856:7.6	tt2660966:7.6	tt2661032:7.6	tt2663798:8.1	tt2674016:7.9	tt2697462:7.1	tt2795510:7.7	tt2857958:7.6	tt2934900:-	tt4674936:7.9	
3	tt2865810:8.0	tt4419662:8.2	tt4462288:8.1	tt4524386:7.8	tt4566268:7.9	tt4568632:8.3	tt4573132:7.7	tt4573138:8.0	tt4588054:7.8	tt4588058:7.8	tt4590502:7.8	tt4595782:7.7	tt4595784:7.7	
2	tt3422342:8.0	tt3422346:8.4	tt3422350:7.7	tt3422354:8.1	tt3422356:7.9	tt3422362:7.7	tt3422364:8.2	tt3422366:8.1	tt3422370:7.9	tt3422372:8.3	tt3422374:8.1	tt3639728:7.7	tt3639732:8.1	
4	tt5180584:8.2	tt5374520:7.9	tt5497502:7.7	tt5540278:8.2	tt5561576:7.8	tt5574284:7.9	tt5586724:8.1	tt5586726:8.2	tt5662840:7.9	tt5685172:8.2	tt5689758:8.2	tt5740822:7.9	tt5740824:7.8	
