2	tt14127958:-	tt14128040:-	tt14129592:-	tt14129598:-	tt14129602:-	tt14129604:-	
4	tt14127986:-	tt14128658:-	tt14128666:-	
1	tt14132390:-	
3	tt14132478:-	tt14134926:-	
5	tt14134954:-	tt14134966:-	
