1	tt11302186:-	tt11302242:-	tt11344032:-	tt11344042:-	tt11344048:-	tt11344054:-	tt11344064:-	tt11344068:-	tt11344072:-	tt11344076:-	tt11344080:-	
2	tt11344082:-	tt11344084:-	tt11344086:-	tt11344088:-	tt11344094:-	tt11344098:-	tt11344102:-	tt11344104:-	tt11344106:-	tt11344108:-	
3	tt11344110:-	tt11344112:-	tt11344116:-	tt11344122:-	tt11344126:-	tt11344128:-	tt11344130:-	tt11344132:-	tt11344134:-	tt11344136:-	
4	tt11344140:-	tt11344144:-	tt11344148:-	tt11344150:-	tt11344152:-	tt11344154:-	tt11344158:-	tt11344164:-	tt11344170:-	tt11344176:-	
