6	tt13968694:5.4	tt7814142:7.8	tt7814144:8.3	tt7814146:9.2	tt7814148:8.4	tt7985700:9.1	tt7985702:8.3	
1	tt2356337:8.4	tt2384267:7.8	tt2388095:8.2	tt2392125:8.2	tt2393075:8.1	
2	tt3162268:8.6	tt3162272:8.6	tt3162274:8.3	tt3162276:8.6	tt3162280:8.7	tt3162282:8.3	
3	tt4881332:8.7	tt4881336:8.4	tt5072082:8.5	tt5072086:8.5	tt5072092:9.6	tt5072094:9.2	
4	tt5760408:8.5	tt6148492:8.8	tt6148516:8.2	tt6148548:8.6	tt6148560:8.6	tt6158184:9.1	
5	tt7251220:8.7	tt7814136:9.1	tt7814138:8.6	tt7814140:8.5	tt7981396:8.6	tt7981400:8.5	
